Station,RMSE,MAE,NSE
2091,0.771775484085083,0.5869335532188416,0.9811921715736389
2143,0.8894038200378418,0.6780139803886414,0.9784370064735413
2016,0.6840234398841858,0.532019853591919,0.9841176867485046
2018,0.7749292254447937,0.6085678935050964,0.9817013740539551
2243,0.8329945206642151,0.6212717294692993,0.9820219278335571
2415,0.6140176057815552,0.47999775409698486,0.9873014688491821
2044,0.9171978831291199,0.7211496829986572,0.9739810824394226
2473,0.7482724785804749,0.5899122357368469,0.9552063941955566
2029,0.8427544236183167,0.6375293731689453,0.9770911931991577
2634,1.0599111318588257,0.8502147197723389,0.9660966396331787
2152,0.7603178024291992,0.542341411113739,0.9813605546951294
2104,1.001967430114746,0.7013360261917114,0.9527708888053894
2085,1.0368765592575073,0.8293348550796509,0.9556777477264404
2034,0.8502178192138672,0.6706442832946777,0.9802602529525757
2481,0.419840544462204,0.3252260088920593,0.9606050252914429
2056,0.5361433625221252,0.4265081584453583,0.9659697413444519
2084,0.8438306450843811,0.6296131014823914,0.8952804207801819
2372,0.5127801895141602,0.4083711504936218,0.9580176472663879
2500,0.6828611493110657,0.5507100820541382,0.9596194624900818
2135,0.9295631051063538,0.6870105266571045,0.9614466428756714
2070,0.8686230182647705,0.6907658576965332,0.9653939604759216
2030,0.9691674113273621,0.7120589017868042,0.9564241766929626
2109,0.8386788964271545,0.6578037738800049,0.8534356951713562
2019,0.8594030141830444,0.6704898476600647,0.8165200352668762
2174,1.4613391160964966,1.1472899913787842,0.9207502603530884
2170,0.6060823798179626,0.47964560985565186,0.9572904706001282
2009,0.5359781384468079,0.4155135154724121,0.9424232840538025
2269,0.6136125922203064,0.49521443247795105,0.9077255725860596
