Station,RMSE,MAE,NSE
2091,0.6923965811729431,0.5300409197807312,0.9848620891571045
2143,0.8691173195838928,0.655484676361084,0.9794094562530518
2016,0.6695175766944885,0.5189536213874817,0.9847841858863831
2018,0.6995128989219666,0.5392331480979919,0.9850897192955017
2243,0.8287798762321472,0.6064125895500183,0.9822034239768982
2415,0.7102813124656677,0.5560512542724609,0.9830076694488525
2044,0.9074980616569519,0.7107242941856384,0.9745284914970398
2473,0.7108317017555237,0.5649919509887695,0.9595768451690674
2029,0.833231508731842,0.6290639042854309,0.9776059985160828
2634,0.9470129609107971,0.7427884340286255,0.9729345440864563
2152,0.7352997064590454,0.5276615619659424,0.9825670123100281
2104,0.946548581123352,0.6633198261260986,0.9578508734703064
2085,1.044512391090393,0.8276528716087341,0.9550225138664246
2034,0.8882461786270142,0.6912763714790344,0.9784549474716187
2481,0.4651508331298828,0.36783939599990845,0.9516429305076599
2056,0.5947521328926086,0.47248703241348267,0.9581230282783508
2084,0.7958757281303406,0.5860953330993652,0.9068446159362793
2372,0.4941355288028717,0.39185193181037903,0.9610151052474976
2500,0.7398014068603516,0.5992160439491272,0.9526044726371765
2135,0.9067500233650208,0.6791865229606628,0.9633157253265381
2070,0.7653051018714905,0.6054579019546509,0.9731367826461792
2030,0.9325287938117981,0.6607285141944885,0.9596565961837769
2109,0.7824961543083191,0.6190177798271179,0.8724145293235779
2019,0.7826179265975952,0.6156700849533081,0.8478420972824097
2174,1.3574936389923096,1.01487135887146,0.9316133260726929
2170,0.7003695964813232,0.5642577409744263,0.9429683089256287
2009,0.5513361692428589,0.4302755296230316,0.9390763640403748
2269,0.6009237766265869,0.4864749610424042,0.9115024209022522
