Station,RMSE,MAE,NSE
2091,0.6906542778015137,0.5314683318138123,0.9849381446838379
2143,0.8520604968070984,0.6471031904220581,0.9802097082138062
2016,0.6926849484443665,0.5407381057739258,0.983712911605835
2018,0.6939589381217957,0.52659672498703,0.9853255748748779
2243,0.7790142297744751,0.5468567609786987,0.984276533126831
2415,0.6279821395874023,0.4815867841243744,0.9867172837257385
2044,0.871971607208252,0.6731847524642944,0.9764837622642517
2473,0.7215619683265686,0.5734681487083435,0.9583472013473511
2029,0.8456999659538269,0.6546794772148132,0.9769307971000671
2634,0.8476232290267944,0.6674490571022034,0.9783174991607666
2152,0.7447113990783691,0.5120136737823486,0.9821178913116455
2104,0.9657382369041443,0.6913625001907349,0.9561245441436768
2085,0.9838573336601257,0.7742255330085754,0.9600945711135864
2034,0.849479079246521,0.6531205773353577,0.9802945256233215
2481,0.41715025901794434,0.33032843470573425,0.9611082673072815
2056,0.5696073174476624,0.45083698630332947,0.9615890979766846
2084,0.8091865181922913,0.5899381637573242,0.9037026166915894
2372,0.5194848775863647,0.4107583463191986,0.956912636756897
2500,0.6221906542778015,0.48392611742019653,0.9664761424064636
2135,0.8338661789894104,0.610538125038147,0.9689760208129883
2070,0.6868055462837219,0.5355082750320435,0.9783650040626526
2030,0.9272404313087463,0.6759329438209534,0.9601128697395325
2109,0.707202136516571,0.5416689515113831,0.8957865238189697
2019,0.7216863632202148,0.557875394821167,0.870612621307373
2174,1.3075929880142212,0.9569146633148193,0.9365485906600952
2170,0.623490035533905,0.4928019344806671,0.9548018574714661
2009,0.5996751189231873,0.4570801854133606,0.9279249906539917
2269,0.573024570941925,0.46423524618148804,0.9195290207862854
