Station,RMSE,MAE,NSE
2091,0.6925331950187683,0.538803219795227,0.9854810237884521
2143,0.8504028916358948,0.6617403030395508,0.9808011054992676
2016,0.8162848353385925,0.6059616804122925,0.9803383946418762
2018,0.8095391988754272,0.6015114784240723,0.9817381501197815
2243,0.9088503122329712,0.6761080622673035,0.9809098243713379
2415,0.7336094975471497,0.5536062717437744,0.9828238487243652
2044,0.906525731086731,0.7021870017051697,0.9774171710014343
2288,0.871367335319519,0.6556823253631592,0.9806722402572632
2608,0.7528730630874634,0.5895776748657227,0.9791014790534973
2343,0.4893171191215515,0.3753746747970581,0.9841179847717285
2029,1.034706950187683,0.7663682103157043,0.9699273705482483
2634,0.86052405834198,0.6868055462837219,0.9790925979614258
2152,0.9431300759315491,0.6933261752128601,0.9743927717208862
2604,0.8180248737335205,0.6487095355987549,0.9792000651359558
2609,1.040283441543579,0.8221037983894348,0.966983437538147
2635,0.7546417117118835,0.5969257950782776,0.9797379970550537
2104,0.969103217124939,0.7266688942909241,0.9612636566162109
2386,0.7899572849273682,0.6219122409820557,0.9788209199905396
2414,0.7473727464675903,0.5997310280799866,0.9726419448852539
2374,0.8796216249465942,0.6502624154090881,0.9764271378517151
2112,0.8910964727401733,0.6871140599250793,0.960482120513916
2308,0.8065761923789978,0.6208484172821045,0.9831981062889099
2410,0.5987010598182678,0.4667567014694214,0.9089267253875732
2150,0.7090632319450378,0.5672262907028198,0.9656286835670471
2033,0.8030647039413452,0.6342258453369141,0.9401960372924805
2327,0.5908437371253967,0.467760294675827,0.9578527212142944
2473,0.8751623630523682,0.7020313739776611,0.946551501750946
2307,0.808292031288147,0.6217440962791443,0.8909549713134766
2085,1.3213013410568237,1.0607020854949951,0.9399949312210083
2034,0.8342575430870056,0.6686589121818542,0.9834974408149719
2369,0.7674931287765503,0.5870425701141357,0.9814480543136597
2084,0.795562744140625,0.5720871686935425,0.9121728539466858
2056,0.6051173806190491,0.48018261790275574,0.9580094814300537
2276,0.42268550395965576,0.3168884217739105,0.936804473400116
2481,0.44331812858581543,0.3468587398529053,0.9595458507537842
2372,0.5757476091384888,0.4612099826335907,0.9516879320144653
2126,0.7042098641395569,0.5512505769729614,0.9765751361846924
2467,0.8099595904350281,0.6306496262550354,0.9730549454689026
2500,0.4552162289619446,0.3499946892261505,0.9837242960929871
2135,0.8244292736053467,0.6180213093757629,0.9735732674598694
2179,0.6567900776863098,0.5304093956947327,0.9869421720504761
2070,0.6637774705886841,0.5168359875679016,0.9813830852508545
2282,0.7239630222320557,0.5463236570358276,0.9756566882133484
2159,0.7843331694602966,0.6179760694503784,0.975942075252533
2030,0.7962899804115295,0.586809515953064,0.974079430103302
2457,1.0992941856384277,0.8390192985534668,0.9245983362197876
2232,0.6463011503219604,0.5213881134986877,0.9606635570526123
2109,0.8130739331245422,0.6600353121757507,0.8669555187225342
2019,0.5970910787582397,0.47713252902030945,0.9149012565612793
2174,1.341696858406067,0.9111720323562622,0.9368192553520203
2606,1.6730282306671143,1.1588116884231567,0.9217126965522766
2170,0.6227393746376038,0.48752695322036743,0.9553059935569763
2009,0.5362436771392822,0.4226517975330353,0.9375832080841064
2432,0.827976644039154,0.6321300268173218,0.9727780222892761
2351,0.6570179462432861,0.5201656222343445,0.9276543259620667
2269,0.5274025797843933,0.428518146276474,0.9335135817527771
2167,0.9086841940879822,0.6891615390777588,0.9838018417358398
2068,0.7979017496109009,0.6078810095787048,0.9522315263748169
2612,0.7115106582641602,0.5756102204322815,0.9857736229896545
2347,0.9709242582321167,0.8320472240447998,0.9563378691673279
2462,0.646640419960022,0.47979801893234253,0.963718831539154
2617,0.507987916469574,0.4042040705680847,0.9675835967063904
2256,0.552354097366333,0.4083283245563507,0.9675548672676086
