Station,RMSE,MAE,NSE
2091,0.6536712050437927,0.5037579536437988,0.9865080118179321
2143,0.8862707018852234,0.6616182327270508,0.9785886406898499
2016,0.6823347210884094,0.5333201885223389,0.9841960072517395
2018,0.7358460426330566,0.5785244703292847,0.983500599861145
2243,0.8542525768280029,0.6402236223220825,0.981092631816864
2415,0.5965116024017334,0.4638395607471466,0.9880152344703674
2044,0.9009019136428833,0.7008707523345947,0.9748974442481995
2473,0.6342393755912781,0.5078545808792114,0.9678187370300293
2029,0.8840706944465637,0.6715817451477051,0.9747899174690247
2634,0.8528904914855957,0.6621840596199036,0.9780471920967102
2152,0.726688027381897,0.5198290348052979,0.9829729795455933
2104,0.9446853399276733,0.6620315313339233,0.9580166339874268
2085,0.9901394248008728,0.7931256294250488,0.9595833420753479
2034,0.895558774471283,0.7063733339309692,0.9780987501144409
2481,0.4110792875289917,0.32417726516723633,0.9622320532798767
2056,0.530608594417572,0.42499807476997375,0.9666687250137329
2084,0.8274783492088318,0.592873752117157,0.8992997407913208
2372,0.5163174271583557,0.40377312898635864,0.9574364423751831
2500,0.7045353651046753,0.572510302066803,0.9570153951644897
2135,0.8390630483627319,0.6177130937576294,0.96858811378479
2070,0.6781140565872192,0.525906503200531,0.9789091348648071
2030,1.0118969678878784,0.7593711018562317,0.9524970650672913
2109,0.7728396058082581,0.5916269421577454,0.8755440711975098
2019,0.7678714990615845,0.6006929278373718,0.8535221219062805
2174,1.4191340208053589,1.0767619609832764,0.9252617955207825
2170,0.6730505228042603,0.5393433570861816,0.9473307728767395
2009,0.5873199701309204,0.4533798098564148,0.9308643341064453
2269,0.5468794703483582,0.44647857546806335,0.9267047047615051
