Station,RMSE,MAE,NSE
2009,0.8335043787956238,0.6607337764331273,0.8439248204231262
2016,0.9850263680730548,0.7771392890385219,0.9633137243134635
2018,1.2425379157066345,0.9681501729147775,0.9465171609606061
2019,1.0809660809380668,0.8789236886160714,0.67685866355896
2029,1.0637544904436385,0.8222974113055638,0.9596832735197884
2030,1.1714712040764945,0.8811621410506112,0.9303084441593715
2034,1.7748983587537492,1.4121234842709132,0.9047758068357196
2044,1.7087342398507255,1.3316116673605782,0.8986293588365827
2056,1.0054551703589303,0.8118976269449506,0.8678232090813773
2070,1.454164675303868,1.154359953744071,0.8942994730813163
2084,1.0857401915958949,0.8278582181249347,0.8018673402922494
2085,1.3389285802841187,1.062277955668313,0.919573826449258
2091,0.999466495854514,0.784462000642504,0.9644088063921247
2104,1.2559544018336706,0.8922766361917768,0.9195198161261422
2109,1.2046375274658203,1.0116537639072962,0.6496098126683917
2135,1.2345562492098128,0.9206956284386771,0.9254079716546195
2143,1.166796863079071,0.900901700769152,0.9590841020856585
2152,1.1263864210673742,0.8317368030548096,0.9547704287937709
2170,1.0268868378230505,0.8506917612893241,0.8555379339626857
2174,1.8943714925221034,1.4308736664908273,0.8550899539675031
2243,1.19558242389134,0.9050427845546177,0.959097513130733
2269,0.8040546349116734,0.656978794506618,0.8287776623453412
2372,0.861879186970847,0.6934396369116647,0.8672737053462437
2415,1.3393517477171761,1.0386480689048767,0.9324884159224374
2473,1.0610668574060713,0.8432533144950867,0.898831878389631
2481,0.8498256461960929,0.6800857782363892,0.8150410396712167
2500,1.1021573884146554,0.8864730851990836,0.8833150012152535
2634,1.8746413503374373,1.4792537944657462,0.8838804023606437
