Station,RMSE,MAE,NSE
2091,0.6892080903053284,0.5076151490211487,0.9850011467933655
2143,0.8701444268226624,0.6370978951454163,0.9793607592582703
2016,0.6634909510612488,0.5031065344810486,0.9850568771362305
2018,0.7067611813545227,0.5306482315063477,0.9847791194915771
2243,0.7926068305969238,0.5561110377311707,0.9837230443954468
2415,0.5798248648643494,0.4398324191570282,0.9886763691902161
2044,0.9209645390510559,0.7306182384490967,0.9737669229507446
2473,0.6545628309249878,0.5167253017425537,0.9657232761383057
2029,0.8432093262672424,0.6275376081466675,0.9770664572715759
2634,0.841312050819397,0.6577761173248291,0.9786391854286194
2152,0.7265619039535522,0.4967394173145294,0.982978880405426
2104,1.0091887712478638,0.6828073263168335,0.9520876407623291
2085,1.014547348022461,0.7929112911224365,0.9575661420822144
2034,0.9100381135940552,0.6897091865539551,0.9773848056793213
2481,0.3949914574623108,0.3098173439502716,0.9651303291320801
2056,0.5391508936882019,0.42840248346328735,0.9655869007110596
2084,0.7656096816062927,0.5603483319282532,0.9137950539588928
2372,0.537775993347168,0.4234609007835388,0.9538249969482422
2500,0.6056115031242371,0.47662588953971863,0.968238890171051
2135,0.8419724106788635,0.6229182481765747,0.9683699607849121
2070,0.681172251701355,0.5294494032859802,0.9787184596061707
2030,0.9187741279602051,0.6497073173522949,0.9608379602432251
2109,0.7049834132194519,0.543765664100647,0.8964394330978394
2019,0.7111125588417053,0.5589433312416077,0.8743762969970703
2174,1.3293662071228027,0.9874515533447266,0.9344179034233093
2170,0.6129828095436096,0.4864145517349243,0.9563124179840088
2009,0.6366145014762878,0.48987558484077454,0.9187719821929932
2269,0.4381698966026306,0.3452843129634857,0.9529480338096619
