Station,RMSE,MAE,NSE
2091,0.7405994534492493,0.5704358220100403,0.9826809763908386
2143,0.8597280979156494,0.6434835195541382,0.9798519015312195
2016,0.6690022945404053,0.5272582769393921,0.9848076105117798
2018,0.7080721855163574,0.5443616509437561,0.9847226142883301
2243,0.8898468017578125,0.681738018989563,0.9794842004776001
2415,0.5815691351890564,0.45308738946914673,0.9886081218719482
2044,0.9063348770141602,0.707588255405426,0.9745937585830688
2473,0.7214365601539612,0.5766191482543945,0.9583616852760315
2029,0.8334829211235046,0.611676037311554,0.9775924682617188
2634,0.8408346772193909,0.6607767343521118,0.9786633849143982
2152,0.782520592212677,0.5458256602287292,0.9802560210227966
2104,1.0397080183029175,0.7306682467460632,0.9491459727287292
2085,0.9883277416229248,0.7836973667144775,0.9597311019897461
2034,0.9276155233383179,0.7306826114654541,0.9765027165412903
2481,0.4214802384376526,0.32645028829574585,0.9602966904640198
2056,0.5749328136444092,0.4576601982116699,0.9608675241470337
2084,0.8322443962097168,0.5987029075622559,0.8981363773345947
2372,0.5257358551025391,0.41740018129348755,0.9558694362640381
2500,0.6429005265235901,0.5057763457298279,0.9642072916030884
2135,0.9008049368858337,0.6659526824951172,0.9637951850891113
2070,0.6850257515907288,0.5399825572967529,0.9784770011901855
2030,0.9870694279670715,0.728593647480011,0.954799473285675
2109,0.7352843284606934,0.5728127360343933,0.8873457908630371
2019,0.8036360144615173,0.6435153484344482,0.8395596146583557
2174,1.3740191459655762,1.0122145414352417,0.9299381375312805
2170,0.6739668250083923,0.5404436588287354,0.9471872448921204
2009,0.6183452606201172,0.467684268951416,0.9233672022819519
2269,0.6198483109474182,0.5069108605384827,0.9058406352996826
