Station,RMSE,MAE,NSE
2009,0.8196879540170942,0.6454273802893502,0.8500094754355294
2016,0.9246703386306763,0.7296636360032218,0.9674875225339618
2018,1.2328545451164246,0.9757904580661229,0.9482996378626142
2019,0.868493275982993,0.6851505466869899,0.7914177690233503
2029,0.9760403547968183,0.7421804411070687,0.9662112678800311
2030,1.1355853847094945,0.8509714347975594,0.9345730117389134
2034,1.7322407449994768,1.367652884551457,0.9088103345462254
2044,1.746765170778547,1.400348927293505,0.8944647993360247
2056,0.9438970003809247,0.754973828792572,0.8834997841290065
2070,1.2831707171031408,1.0179044434002467,0.9172624605042594
2084,1.0928465638841902,0.8316254190036229,0.7995729701859611
2085,1.1887311594826835,0.9550401312964303,0.9362900001662118
2091,0.9754049011639186,0.7691375187465123,0.9665125523294721
2104,1.2367042303085327,0.8952813829694476,0.9219669529369899
2109,1.0588580880846297,0.8827428392001561,0.7292405452047076
2135,1.15976368529456,0.8887150883674622,0.9340025612286159
2143,1.143695933478219,0.8740378362791879,0.9610041550227574
2152,1.1366399100848608,0.8543373090880257,0.9544347439493451
2170,1.0285017490386963,0.8506842085293361,0.8560870885848999
2174,1.733599100794111,1.3399471044540405,0.8789800405502319
2243,1.129165598324367,0.8460931437356132,0.9635010702269418
2269,0.7241448589733669,0.5698921169553485,0.8607769012451172
2372,0.8024607215608869,0.6366859929902213,0.8850393039839608
2415,1.32127731187003,1.0371030994824,0.9345523800168719
2473,1.0987162675176347,0.8819299851145063,0.8923376202583313
2481,0.7980550527572632,0.6324704715183803,0.8373474052974156
2500,0.982850968837738,0.7845742957932609,0.9072261282375881
2634,1.8549885749816895,1.444488252912249,0.8860630563327244
