Station,RMSE,MAE,NSE
2091,0.7151497602462769,0.5378653407096863,0.9838508367538452
2143,0.9196751713752747,0.6904590129852295,0.9769442081451416
2016,0.6809655427932739,0.5145202875137329,0.9842593669891357
2018,0.6945018768310547,0.5193278193473816,0.9853025674819946
2243,0.794002890586853,0.5610475540161133,0.9836656451225281
2415,0.6524091958999634,0.4934014081954956,0.9856638312339783
2044,0.8869651556015015,0.6784205436706543,0.9756680727005005
2473,0.6555079221725464,0.5201892256736755,0.965624213218689
2029,0.8800029158592224,0.6690025329589844,0.9750213623046875
2634,0.8180636763572693,0.635776162147522,0.9798034429550171
2152,0.7472971677780151,0.5346211194992065,0.9819934964179993
2104,0.974580705165863,0.6997309923171997,0.9553174376487732
2085,1.0514230728149414,0.8412560224533081,0.9544253945350647
2034,0.9310851693153381,0.7060480117797852,0.9763266444206238
2481,0.4047311544418335,0.31697848439216614,0.96338951587677
2056,0.564306914806366,0.44721725583076477,0.9623006582260132
2084,0.7922760844230652,0.5819246768951416,0.907685399055481
2372,0.4964648187160492,0.3953835666179657,0.9606466889381409
2500,0.658278226852417,0.5314735174179077,0.962474524974823
2135,0.864109992980957,0.6279746294021606,0.9666848182678223
2070,0.6843878030776978,0.5354657769203186,0.9785170555114746
2030,0.9344375133514404,0.6649405360221863,0.9594913125038147
2109,0.9092196822166443,0.684802770614624,0.8277440071105957
2019,0.8723081946372986,0.6876169443130493,0.8109682202339172
2174,1.332059621810913,0.9891839623451233,0.9341518878936768
2170,0.6172077059745789,0.4879077970981598,0.9557080864906311
2009,0.5603240132331848,0.42754876613616943,0.937073826789856
2269,0.6272507309913635,0.5145948529243469,0.9035782217979431
