Station,RMSE,MAE,NSE
2091,0.6620051860809326,0.5039180517196655,0.9861618280410767
2143,0.8634371161460876,0.643939197063446,0.979677677154541
2016,0.7003620862960815,0.544145941734314,0.9833499193191528
2018,0.742132306098938,0.590703010559082,0.9832174777984619
2243,0.8485568761825562,0.637383222579956,0.9813439249992371
2415,0.6161990761756897,0.46859773993492126,0.9872110486030579
2044,0.8821960091590881,0.6787229776382446,0.9759290814399719
2473,0.7128751277923584,0.5657431483268738,0.9593440890312195
2029,0.8515080213546753,0.6528233885765076,0.9766128063201904
2634,0.8411365747451782,0.666123628616333,0.9786480665206909
2152,0.7452051043510437,0.5232364535331726,0.9820941686630249
2104,0.9734336137771606,0.6698736548423767,0.9554225206375122
2085,0.9669979214668274,0.7606360912322998,0.9614505171775818
2034,0.8848874568939209,0.6780716776847839,0.9786175489425659
2481,0.4209654927253723,0.3326188027858734,0.9603936076164246
2056,0.5591121912002563,0.4425508975982666,0.9629915356636047
2084,0.810663640499115,0.5958863496780396,0.9033507108688354
2372,0.5276696085929871,0.4179196059703827,0.9555442333221436
2500,0.6783831715583801,0.5342146754264832,0.9601473212242126
2135,0.7830007672309875,0.561089277267456,0.9726455211639404
2070,0.6954125165939331,0.5481407046318054,0.9778193831443787
2030,0.9931121468544006,0.7179430723190308,0.9542443752288818
2109,0.7443941235542297,0.572655200958252,0.8845370411872864
2019,0.6964739561080933,0.542265772819519,0.8794951438903809
2174,1.2828603982925415,0.9280216693878174,0.9389262199401855
2170,0.6515000462532043,0.5190833806991577,0.950649619102478
2009,0.5679475665092468,0.43200552463531494,0.9353498816490173
2269,0.542999804019928,0.43510934710502625,0.9277409911155701
