probability,scale_factor,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.0,3,0.9243724942207336,0.19064337015151978,0.8519712686538696,0.700579822063446,1.3015328645706177,0.10557477309694785,0.6844618320465088,0.11987047642469406,0.6380979418754578,0.5453746318817139,0.9325421452522278,0.0663820559437246,0.9699851870536804,0.009556722827255726,0.9721578359603882,0.945252001285553,0.9803500175476074,0.0052923371554250975,0.07239969571431477,0.06906737467447918,8.503605322329664e-07,85140.0,38.172450002034495,96001
0.01,3,1.0429693460464478,0.1729055494070053,0.992192804813385,0.829394519329071,1.3531233072280884,0.0957519008587695,0.7505687475204468,0.1154785007238388,0.703035295009613,0.6185662746429443,0.9675049781799316,0.06394986629839683,0.961534857749939,0.01151250395923853,0.9634232521057129,0.927273154258728,0.9750082492828369,0.006375412743006015,0.07356791496276857,0.0701574462890625,8.640816885455549e-07,85140.0,38.172450002034495,96001
0.02,3,1.1353200674057007,0.18374241888523102,1.1172233819961548,0.8914575576782227,1.4839502573013306,0.10175316257764289,0.7996214032173157,0.1284710168838501,0.7640463709831238,0.6383591294288635,1.0329447984695435,0.07114487494127897,0.9540973901748657,0.014423028565943241,0.9579645395278931,0.9127532243728638,0.9741725325584412,0.007987207493153514,0.06829541524251302,0.06496841227213543,8.021542781596549e-07,85140.0,38.172450002034495,96001
0.03,3,1.267572283744812,0.20039652287960052,1.194205403327942,0.9805779457092285,1.720446228981018,0.11097587748311688,0.8833851218223572,0.13127501308918,0.8471886515617371,0.7152880430221558,1.1196824312210083,0.07269767437503383,0.9434805512428284,0.014292831532657146,0.9432086944580078,0.9030722975730896,0.9655007123947144,0.00791510615691371,0.06930499076843263,0.06594664713541666,8.14012106746918e-07,85140.0,38.172450002034495,96001
0.04,3,1.3807882070541382,0.2360825538635254,1.2983791828155518,1.0246102809906006,1.9403541088104248,0.13073813944466717,0.9472799897193909,0.15136019885540009,0.913740336894989,0.7171303033828735,1.2547699213027954,0.0838204800131328,0.932683527469635,0.01876087300479412,0.9360404014587402,0.8804056644439697,0.9618543386459351,0.01038942382839303,0.1064395268758138,0.10281870117187503,1.2501706233945712e-06,85140.0,38.172450002034495,96001
0.05,3,1.4581315517425537,0.21950463950634003,1.4225854873657227,1.146418809890747,2.0036070346832275,0.12155761948120114,1.0138105154037476,0.1470385491847992,0.9566687941551208,0.8233540058135986,1.332768440246582,0.08142723339892566,0.924338698387146,0.02208651602268219,0.9268413782119751,0.8649170994758606,0.9556341171264648,0.012231105008057463,0.0702367941538493,0.06661855875651043,8.249564735006965e-07,85140.0,38.172450002034495,96001
0.06,3,1.5363513231277466,0.1997649371623993,1.5130985975265503,1.232413411140442,1.9814918041229248,0.11062613326866355,1.0678329467773438,0.1419236809015274,1.043915867805481,0.8683347105979919,1.383233666419983,0.07859471514644323,0.915700376033783,0.024304568767547607,0.9219233393669128,0.8522878289222717,0.952450692653656,0.013459422461385429,0.07315247853597005,0.06916456705729165,8.592022379136726e-07,85140.0,38.172450002034495,96001
0.07,3,1.6308338642120361,0.25564128160476685,1.5311191082000732,1.2844210863113403,2.2744803428649902,0.14156942365612069,1.143078327178955,0.1780969500541687,1.1211919784545898,0.9527894258499146,1.6177531480789185,0.0986267978221802,0.905371367931366,0.028347406536340714,0.9085273146629333,0.8270024657249451,0.944090723991394,0.015698269225544514,0.07237780888875324,0.0687925537109375,8.501034635747388e-07,85140.0,38.172450002034495,96001
0.08,3,1.6606669425964355,0.19811174273490906,1.6186686754226685,1.3314402103424072,2.071160078048706,0.10971062047939317,1.1687363386154175,0.12363024055957794,1.1489017009735107,0.9564459919929504,1.391837239265442,0.06846414981666515,0.9003719687461853,0.031009113416075706,0.9012194275856018,0.8278782367706299,0.9457851648330688,0.017172272741155403,0.068503204981486,0.06519123535156249,8.045948435692507e-07,85140.0,38.172450002034495,96001
0.09,3,1.7717278003692627,0.253581702709198,1.7392526865005493,1.3441860675811768,2.2988121509552,0.14042885785955117,1.2502695322036743,0.17374219000339508,1.2290972471237183,0.9547624588012695,1.570859432220459,0.09621521426574442,0.8875901699066162,0.03568033501505852,0.8899202942848206,0.7905642986297607,0.9374067783355713,0.01975910992507557,0.0704197883605957,0.06695505777994791,8.271058064434545e-07,85140.0,38.172450002034495,96001
0.1,3,1.8716548681259155,0.31037113070487976,1.8464287519454956,1.4162074327468872,2.613271474838257,0.1718777924251933,1.305580496788025,0.20061907172203064,1.2715790271759033,1.0321252346038818,1.765539526939392,0.11109913848867681,0.8762519359588623,0.0346856415271759,0.8794610500335693,0.7854796648025513,0.9288065433502197,0.019208266582538935,0.07613945007324219,0.07220445963541669,8.942852956688066e-07,85140.0,38.172450002034495,96001
