noise_level,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.0,0.76872318983078,0.1989663541316986,0.7518587708473206,0.4110792875289917,1.4191340208053589,0.0771510964750432,0.5905265212059021,0.145994946360588,0.5850757360458374,0.3241772651672363,1.0767619609832764,0.0566109308889133,0.9563571214675904,0.0337546579539775,0.9672437310218812,0.8535221219062805,0.9880152344703674,0.0130886916536717,0.4348613023757934,0.4305266320364816,2.7721125924382837e-06,156870.0,41.78763102633612,3163264
0.05,0.7722893953323364,0.1996988952159881,0.7517198324203491,0.4144741892814636,1.4201908111572266,0.0774351503283965,0.5928634405136108,0.146458700299263,0.5850152969360352,0.326259434223175,1.0767059326171875,0.0567907557356381,0.9560461044311525,0.0337524004280567,0.9671836495399476,0.8535189628601074,0.9875750541687012,0.0130878145431914,0.426652124949864,0.4223519723074778,2.7197815066607003e-06,156870.0,41.78763102633612,3163264
0.1,0.7841939330101013,0.1983297020196914,0.7587745785713196,0.4270846545696258,1.4288164377212524,0.0769042290485928,0.6024327874183655,0.1448921710252761,0.5930973887443542,0.3387582898139953,1.0813137292861938,0.05618332137602,0.954819679260254,0.0342672392725944,0.9648126363754272,0.8524652719497681,0.9864081144332886,0.013287448901452,0.4293349725859506,0.4248866468157087,2.736883869356477e-06,156870.0,41.78763102633612,3163264
0.15,0.7985206842422485,0.2014099359512329,0.7665451765060425,0.437980055809021,1.4495373964309692,0.0780986280347879,0.6140433549880981,0.1479804813861847,0.6027973890304565,0.3484403789043426,1.0974620580673218,0.0573808427990886,0.9530498385429382,0.0356495156884193,0.9638702869415284,0.8479278683662415,0.9861927032470704,0.0138234398416141,0.4690297842025757,0.4643219811575753,2.989926590186624e-06,156870.0,41.78763102633612,3163264
0.2,0.8232899308204651,0.201393574476242,0.782504677772522,0.4666921198368072,1.4536255598068235,0.078092291437069,0.6336537003517151,0.1467130333185196,0.6208623647689819,0.3712698519229889,1.090890884399414,0.05688937811449,0.9503938555717468,0.0366468764841556,0.95937979221344,0.8473641276359558,0.9850900769233704,0.0142101767704876,0.4562245011329651,0.451462160382952,2.9082966860009248e-06,156870.0,41.78763102633612,3163264
0.25,0.8469796180725098,0.2103090733289718,0.8072216510772705,0.4973306357860565,1.480109691619873,0.0815493450034285,0.6518450379371643,0.1545098572969436,0.6219063997268677,0.3964716792106628,1.118621826171875,0.0599126690181809,0.9475647807121276,0.0386794172227382,0.9572898149490356,0.83449387550354,0.98552668094635,0.014998313087311,0.4211305890764509,0.4170008283342634,2.684583343382743e-06,156870.0,41.78763102633612,3163264
0.3,0.8770408034324646,0.2121233940124511,0.8413816094398499,0.5337973833084106,1.467815399169922,0.0822528755108418,0.6767844557762146,0.1554872989654541,0.6573351621627808,0.4212729632854461,1.0994855165481567,0.0602916839351781,0.9434170126914978,0.0410598367452621,0.9543596506118774,0.8268101215362549,0.985442876815796,0.0159213428810871,0.4069113305636814,0.4028785302298409,2.5939397626294474e-06,156870.0,41.78763102633612,3163264
0.35,0.929305374622345,0.2307064682245254,0.9030886888504028,0.6008707880973816,1.5089908838272097,0.0894586342992453,0.7170211672782898,0.1712967604398727,0.7012456655502319,0.4746767580509186,1.1489375829696655,0.066421952401336,0.9374279379844666,0.0437004566192626,0.9498101472854614,0.8086384534835815,0.983839988708496,0.0169452680883913,0.4659371205738613,0.4612342823573522,2.9702117713639395e-06,156870.0,41.78763102633612,3163264
0.4,0.9625905752182008,0.2363852709531784,0.9246393442153932,0.6249379515647888,1.524601936340332,0.0916606440467178,0.7466493248939514,0.1739293932914734,0.7174773216247559,0.4899840950965881,1.1454530954360962,0.0674427790582177,0.9326449632644652,0.0468213036656379,0.943205952644348,0.7864726185798645,0.9816972613334656,0.0181554072903314,0.4541147436414446,0.4493137653895787,2.8948476040125235e-06,156870.0,41.78763102633612,3163264
0.45,1.016035079956055,0.2512884140014648,1.0105726718902588,0.6785938739776611,1.5531005859375,0.0974394759367347,0.7845966219902039,0.1840879172086715,0.7554870843887329,0.5400639176368713,1.207499861717224,0.0713818420964156,0.9253193736076356,0.0508819296956062,0.93592369556427,0.7774842977523804,0.9824942350387572,0.0197299524558426,0.4935262032917568,0.4890260729108538,3.146084039598118e-06,156870.0,41.78763102633612,3163264
0.5,1.0641752481460571,0.2745340168476105,0.9960471391677856,0.7014380693435669,1.7152923345565796,0.10645318300240536,0.822995662689209,0.20773300528526306,0.7651515603065491,0.5510684251785278,1.34225594997406,0.08055045566313712,0.9169422388076782,0.058507952839136124,0.9286142587661743,0.7321188449859619,0.9826043844223022,0.022687018651889934,0.4764187676565988,0.4705177950177874,3.0370291812111862e-06,156870.0,41.78763102633612,3163264
