probability,scale_factor,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.0,3,0.7110646963119507,0.09915787726640701,0.6685644388198853,0.6069727540016174,0.9643266201019287,0.054911799207694845,0.5594092011451721,0.07540720701217651,0.5265559554100037,0.4841318130493164,0.7568380832672119,0.041759118034753295,0.9805818200111389,0.009318609721958637,0.9792320132255554,0.9577637910842896,0.992195188999176,0.005160473966672741,0.24337868690490722,0.24023129170735674,2.8585704358105153e-06,85140.0,22.435416237513223,1130379
0.01,3,0.8207676410675049,0.10849057883024216,0.7960634231567383,0.6961531043052673,1.1180733442306519,0.060080076362255985,0.6242228746414185,0.08610694855451584,0.59679114818573,0.5327584743499756,0.8740946650505066,0.04768443125499755,0.9746852517127991,0.010883818380534649,0.973970890045166,0.9461804628372192,0.9877861142158508,0.0060272575304635145,0.22898507118225098,0.22567449137369794,2.6895122290609703e-06,85140.0,22.435416237513223,1130379
0.02,3,0.9168652892112732,0.12026534229516983,0.888157844543457,0.7820923924446106,1.253846287727356,0.0666007249785443,0.683681845664978,0.09702059626579285,0.6628474593162537,0.5966514348983765,0.964080810546875,0.05372821550395379,0.969045102596283,0.011195075698196888,0.9689571857452393,0.9434397220611572,0.9855082035064697,0.0061996267849001585,0.23490692774454752,0.23184039510091145,2.7590665697034004e-06,85140.0,22.435416237513223,1130379
0.03,3,1.0293526649475098,0.16781951487064362,0.9782524108886719,0.8107680678367615,1.3768876791000366,0.09293534653246271,0.7500181794166565,0.113951176404953,0.726992666721344,0.5882776379585266,0.993070662021637,0.06310406185443074,0.9617848992347717,0.012320863083004951,0.9624928832054138,0.932083249092102,0.9827607274055481,0.0068230668407651685,0.23600807189941406,0.23275890401204427,2.7719999048556976e-06,85140.0,22.435416237513223,1130379
0.04,3,1.109283208847046,0.18431195616722107,1.0523641109466553,0.869670569896698,1.5879939794540405,0.10206855798397418,0.8020164966583252,0.12006061524152756,0.7617101669311523,0.6520341634750366,1.1428356170654297,0.0664873515398724,0.9553588628768921,0.015121079981327057,0.9554752707481384,0.9177083969116211,0.979728102684021,0.008373774904311682,0.23117122650146485,0.2280252675374349,2.7151894115746395e-06,85140.0,22.435416237513223,1130379
0.05,3,1.1872847080230713,0.2384680211544037,1.1107169389724731,0.9789323806762695,1.7962337732315063,0.1320591823005215,0.8654384016990662,0.16191120445728302,0.7995396852493286,0.7095844745635986,1.2998627424240112,0.0896634367924094,0.9491275548934937,0.01813722588121891,0.9514034390449524,0.9083293676376343,0.9789819717407227,0.010044061104438229,0.3047324816385905,0.30167129618326827,3.5791928780666024e-06,85140.0,22.435416237513223,1130379
0.06,3,1.2742149829864502,0.26821964979171753,1.1747629642486572,1.0044634342193604,1.8835253715515137,0.1485350966768737,0.9343697428703308,0.18445317447185516,0.8825722336769104,0.7283543348312378,1.3681056499481201,0.10214676364433717,0.9415547847747803,0.020591868087649345,0.9426658749580383,0.900894045829773,0.9753780364990234,0.011403394811496326,0.22952362696329753,0.22644670003255207,2.6958377609031894e-06,85140.0,22.435416237513223,1130379
0.07,3,1.302377700805664,0.20440290868282318,1.253903865814209,1.0632613897323608,1.6653717756271362,0.11319455161333636,0.9648543000221252,0.14278537034988403,0.9158860445022583,0.7802430391311646,1.2353460788726807,0.07907189911189705,0.9378136992454529,0.023380238562822342,0.9422139525413513,0.8831706047058105,0.9754832983016968,0.012947544122340449,0.22879454294840496,0.22568068440755207,2.6872744062532885e-06,85140.0,22.435416237513223,1130379
0.08,3,1.4248263835906982,0.25434303283691406,1.400558352470398,1.0986391305923462,1.8965728282928467,0.14085047170160636,1.0413085222244263,0.16392478346824646,1.0470356941223145,0.8104056715965271,1.3366894721984863,0.09077851463877873,0.9276542663574219,0.02162848226726055,0.9298210144042969,0.8813440799713135,0.967075765132904,0.011977453961336981,0.24083751042683918,0.2376005727132161,2.8287234017716603e-06,85140.0,22.435416237513223,1130379
0.09,3,1.4618347883224487,0.30268317461013794,1.3713343143463135,1.1344801187515259,2.1912271976470947,0.16762034594742037,1.0826618671417236,0.20268398523330688,1.0155080556869507,0.8916445374488831,1.5939462184906006,0.1122426445879654,0.9230130910873413,0.02847372740507126,0.9304925799369812,0.8584030270576477,0.9630416035652161,0.015768223261904635,0.24682908058166503,0.2437642537434896,2.8990965536958545e-06,85140.0,22.435416237513223,1130379
0.1,3,1.4728232622146606,0.282771497964859,1.415380597114563,1.079149603843689,2.150010347366333,0.1565936514544488,1.0899587869644165,0.19693244993686676,1.0453429222106934,0.7968097925186157,1.600810170173645,0.1090575456877001,0.9208896160125732,0.02909025549888611,0.9227685332298279,0.8637202978134155,0.9682335257530212,0.016109644941522117,0.22725769678751628,0.22402937215169275,2.6692235939337125e-06,85140.0,22.435416237513223,1130379
