noise_level,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.0,learnable,0.7840114831924438,0.18105310201644897,0.7739006280899048,0.4651508331298828,1.3574936389923096,0.07020506940013582,0.6020388007164001,0.13103173673152924,0.6023370027542114,0.36783939599990845,1.01487135887146,0.05080880493188977,0.9546304941177368,0.03404572978615761,0.9603358507156372,0.8478420972824097,0.9850897192955017,0.013201558000978553,0.3629601512636457,0.3580342483520508,2.3137639527229277e-06,156870.0,429.7387225627899,34765
0.0,sinusoidal,0.7776060700416565,0.17526067793369293,0.7769796848297119,0.4293442964553833,1.295037865638733,0.06795900157153956,0.5926846265792847,0.1316559612751007,0.5824646353721619,0.3340386152267456,0.9875378012657166,0.0510508492061561,0.9532364010810852,0.04101104661822319,0.9628750085830688,0.8253964781761169,0.9863710999488831,0.015902423856444248,0.393513594354902,0.3895118070329939,2.508533144354574e-06,156870.0,820.445154428482,36469
0.0,rope,0.7756783366203308,0.1906575858592987,0.7697865962982178,0.4047311544418335,1.332059621810913,0.07392929960903649,0.5890956521034241,0.13785003125667572,0.5494564771652222,0.31697848439216614,0.9891839623451233,0.0534526643388783,0.9533671736717224,0.0434679239988327,0.9645068645477295,0.8109682202339172,0.9856638312339783,0.016855101513190363,0.3650814550263541,0.360807714189802,2.3272866387859633e-06,156870.0,1093.5621161460876,28914
0.05,learnable,0.789355456829071,0.18178698420524597,0.7782520055770874,0.4710318446159363,1.3646613359451294,0.07048963537899833,0.6062989234924316,0.1317833811044693,0.6095017194747925,0.3708575963973999,1.0213801860809326,0.051100261674134284,0.9541046023368835,0.034124501049518585,0.9597436785697937,0.8474398851394653,0.9849550127983093,0.013232102083589825,0.4385897857802255,0.4336161727905273,2.7958805748723497e-06,156870.0,429.7387225627899,34765
0.05,sinusoidal,0.7813414931297302,0.17596744000911713,0.7817742824554443,0.4341314733028412,1.3066970109939575,0.0682330498683017,0.5967806577682495,0.13265404105186462,0.5836359262466431,0.3394344449043274,0.9980337023735046,0.05143786703969333,0.9528828859329224,0.04099183902144432,0.9629135131835938,0.8261526823043823,0.9863674640655518,0.01589497606102519,0.3407272526196071,0.33655781119210376,2.172035778795226e-06,156870.0,820.445154428482,36469
0.05,rope,0.7822363972663879,0.1913413405418396,0.7767021656036377,0.4108135998249054,1.349114179611206,0.07419442774954055,0.5939750075340271,0.13764163851737976,0.5603964328765869,0.32250306010246277,1.0014725923538208,0.05337185551971757,0.9526911377906799,0.04373430833220482,0.9636854529380798,0.8102414011955261,0.985665500164032,0.016958394170939917,0.3660318851470947,0.36154363032749715,2.333345350590264e-06,156870.0,1093.5621161460876,28914
0.1,learnable,0.802939236164093,0.18326567113399506,0.7874571084976196,0.4892433285713196,1.376179575920105,0.07106300957041944,0.6179043054580688,0.1337071806192398,0.6191723942756653,0.3867752254009247,1.0288385152816772,0.05184623362766827,0.9526506662368774,0.03454810380935669,0.958634614944458,0.8471628427505493,0.9844681024551392,0.013396356786100627,0.37303830896105084,0.36776210239955354,2.3780092366995014e-06,156870.0,429.7387225627899,34765
0.1,sinusoidal,0.8056837320327759,0.1808149367570877,0.8094097971916199,0.45024147629737854,1.3403394222259521,0.07011271100419192,0.617096483707428,0.1389206349849701,0.5895530581474304,0.3498578667640686,1.0352671146392822,0.053867795569773946,0.9505136609077454,0.04154035449028015,0.9616857767105103,0.824065625667572,0.984792172908783,0.016107667708855633,0.4095582962036133,0.405278329031808,2.6108133881788306e-06,156870.0,820.445154428482,36469
0.1,rope,0.7963544130325317,0.1894844025373459,0.7802923917770386,0.4284990131855011,1.358870267868042,0.07347437928353806,0.6082359552383423,0.1373305767774582,0.5784487724304199,0.33867231011390686,1.0158354043960571,0.05325123849679325,0.9510462880134583,0.044431012123823166,0.9615646600723267,0.8082934021949768,0.984975278377533,0.01722854802073248,0.4305748428617205,0.4261919413975307,2.744787676813415e-06,156870.0,1093.5621161460876,28914
0.15,learnable,0.8321800827980042,0.1873624175786972,0.8111838102340698,0.5163556933403015,1.4201406240463257,0.07265156175079168,0.6427475810050964,0.13669846951961517,0.637026309967041,0.4106212556362152,1.0628160238265991,0.05300613293496792,0.9494048357009888,0.03607102856040001,0.9564195871353149,0.8398826122283936,0.9837037920951843,0.013986886226623474,0.4584733418055943,0.4537432370867047,2.9226323822629844e-06,156870.0,429.7387225627899,34765
