probability,positional_encoding,scale_factor,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.05,learnable,5,2.81774425506592,0.528399586677551,2.79421091079712,2.02232241630554,3.71883106231689,0.292617903881122,1.88832068443298,0.485113739967346,1.75276565551758,1.42724370956421,3.03761291503906,0.268647022044831,0.69819837808609,0.128485187888145,0.667735576629639,0.511918902397156,0.914717614650726,0.071152721075165,0.17558921178182,0.172733870442708,2.0623586067867e-06,85140.0,22.620410490036,854232
0.05,sinusoidal,5,2.83846521377563,0.392010539770126,2.79973959922791,2.15657806396484,3.39854311943054,0.217088190650788,1.93122458457947,0.353223830461502,2.07202506065369,1.45134055614471,2.56830143928528,0.195608831851106,0.703366100788117,0.105397395789623,0.687695920467377,0.520971417427063,0.876194477081299,0.0583671263097519,0.173169120152791,0.170366651407878,2.0339337579609e-06,85140.0,21.7501487255096,743962
0.05,rope,5,3.1469829082489,1.08568263053894,3.03255248069763,1.71300864219666,6.2832202911377,0.601230990633993,2.23571944236755,0.993382215499878,2.1055064201355,1.03382325172424,5.01034784317017,0.550116704247232,0.626720547676086,0.232819601893425,0.703011393547058,0.110897839069366,0.89349240064621,0.128931195584592,0.198065217336019,0.194348811848958,2.32634739647661e-06,85140.0,21.5607815424601,1980048
0.1,learnable,5,3.70503878593445,0.948447048664093,3.73627424240112,2.17045712471008,6.02953672409058,0.525232442939133,2.64889621734619,0.887764871120453,2.42440938949585,1.49739837646484,4.85375833511353,0.491627819043092,0.474295556545258,0.255961894989014,0.553633570671082,0.0765715837478638,0.901766180992127,0.141746976392592,0.173199129104614,0.170378649902344,2.03428622392077e-06,85140.0,22.620410490036,854232
0.1,sinusoidal,5,3.78808951377869,0.550122678279877,3.81242871284485,2.62262845039368,4.62277746200562,0.304647768938175,2.72104954719543,0.577077627182007,2.76504778862,1.73361611366272,3.77096796035767,0.319574918807057,0.481226325035095,0.17819182574749,0.53158175945282,0.111256301403046,0.719867825508118,0.0986793317634233,0.179735310872396,0.176847349039714,2.11105603561658e-06,85140.0,21.7501487255096,743962
0.1,rope,5,4.21580457687378,1.09800505638123,4.20850515365601,2.37359738349915,6.91500902175903,0.608054921887803,3.17466259002686,1.10888385772705,3.25067925453186,1.53589761257172,5.91037321090698,0.614079346480541,0.336421072483063,0.36397311091423,0.344526469707489,-0.686352372169495,0.788298010826111,0.201561602544975,0.198653999964396,0.195298650105794,2.33326286075166e-06,85140.0,21.5607815424601,1980048
0.15,learnable,5,4.54068040847778,1.25867009162903,4.65817975997925,2.57506799697876,7.68866968154907,0.69702829040594,3.36630201339722,1.25215744972229,3.24873185157776,1.67392992973328,6.56112337112427,0.693421689522962,0.220131114125252,0.360726147890091,0.299262046813965,-0.441383481025696,0.86172741651535,0.199763479593057,0.174169492721558,0.171392973836263,2.04568349449798e-06,85140.0,22.620410490036,854232
0.15,sinusoidal,5,4.36428928375244,0.66387140750885,4.3463339805603,2.96223521232605,5.23838186264038,0.367639727756466,3.16398406028748,0.616523265838623,3.14328598976135,1.98498547077179,4.21325778961182,0.341419194742017,0.305773377418518,0.261014699935913,0.379501879215241,-0.213569521903992,0.618715703487396,0.144545105887187,0.176242097218831,0.173328355916341,2.07002698166351e-06,85140.0,21.7501487255096,743962
0.15,rope,5,4.87276697158814,1.1976113319397,4.67982769012451,2.81082105636597,7.88369703292847,0.663215000896287,3.76459050178528,1.21490943431854,3.80775427818298,1.8671612739563,6.83854055404663,0.672794379315548,0.130379512906075,0.443936735391617,0.264099955558777,-1.14764809608459,0.59266197681427,0.245843967724885,0.197767575581869,0.194429611206055,2.32285148674969e-06,85140.0,21.5607815424601,1980048
0.2,learnable,5,5.17458152770996,1.40359771251678,5.29482507705689,3.0427303314209,8.81634426116943,0.777286473825706,3.88115525245667,1.32912909984589,3.64842987060547,2.01158165931702,7.36761379241943,0.73604713020109,-0.0281197428703308,0.525532782077789,0.0564882159233093,-0.950696468353272,0.80694305896759,0.291030300211922,0.177490297953288,0.17466575012207,2.08468754936913e-06,85140.0,22.620410490036,854232
0.2,sinusoidal,5,4.87711620330811,0.717857956886292,4.95637464523315,3.5453200340271,6.00346040725708,0.397536438164972,3.68493413925171,0.728519797325134,3.76956224441528,2.43892526626587,4.96045255661011,0.403440853663039,0.130889162421227,0.323945105075836,0.160860776901245,-0.482986927032471,0.514559745788574,0.179394820145477,0.177723042170207,0.174797967529297,2.08742121412035e-06,85140.0,21.7501487255096,743962
0.2,rope,5,5.39316892623901,1.34722554683685,5.45309448242188,3.01595568656921,8.66720199584961,0.746068576742191,4.22131681442261,1.35251998901367,4.03840780258179,2.1642210483551,7.56232500076294,0.749000633829655,-0.0548718050122261,0.470552742481232,-0.0603541135787964,-1.23484134674072,0.597760856151581,0.260583385657122,0.198676792780558,0.195303291829427,2.33353057059617e-06,85140.0,21.5607815424601,1980048
0.25,learnable,5,5.54191780090332,1.3661413192749,5.81679773330689,3.32211542129517,8.94387435913086,0.756543852616007,4.20066261291504,1.29949522018433,4.28411388397217,2.18879866600037,7.61978483200073,0.719636469771222,-0.184549570083618,0.574763894081116,-0.11295223236084,-1.145423412323,0.769862174987793,0.318293617977628,0.175328731536865,0.172515866088867,2.05929917238507e-06,85140.0,22.620410490036,854232
0.25,sinusoidal,5,5.27659749984741,0.837569713592529,5.55453538894653,3.66813325881958,6.68417358398438,0.463830612615202,4.06455707550049,0.860783517360687,3.97384357452393,2.50055909156799,5.5485725402832,0.476685999620426,-0.0077659208327531,0.365903854370117,0.0564960241317749,-0.835935354232788,0.468279540538788,0.202630802080984,0.177639659245809,0.174786584472656,2.08644185160687e-06,85140.0,21.7501487255096,743962
0.25,rope,5,5.7297854423523,1.46339333057404,5.55543613433838,3.12728810310364,9.55770587921143,0.810400163047111,4.52145671844482,1.48249137401581,4.29499530792236,2.23786330223084,8.49253177642822,0.820976304088113,-0.192245930433273,0.507067978382111,-0.167838096618652,-1.29329490661621,0.637978553771973,0.280804886149597,0.199511766433716,0.196185689290365,2.34333763722946e-06,85140.0,21.5607815424601,1980048
0.3,learnable,5,6.00795316696167,1.41332447528839,6.16634368896484,3.90054059028626,9.45290660858154,0.78267298056767,4.6088433265686,1.35695922374725,4.63103437423706,2.458331823349,7.94482755661011,0.751458918661614,-0.382933706045151,0.673881232738495,-0.208905220031738,-1.57574939727783,0.682745218276978,0.373182965417278,0.173930565516154,0.171132500203451,2.04287720831752e-06,85140.0,22.620410490036,854232
0.3,sinusoidal,5,5.62496852874756,0.917102754116058,5.86052179336548,3.8994574546814,6.82155990600586,0.507874557596376,4.35609006881714,0.871922671794891,4.45286846160889,2.75180792808533,5.7488694190979,0.482854690805269,-0.167052313685417,0.478895902633667,-0.0740467309951782,-1.0515820980072,0.470411002635956,0.265203703842195,0.17797646522522,0.174992497762044,2.09039775928142e-06,85140.0,21.7501487255096,743962
0.3,rope,5,6.18287420272827,1.35411238670349,6.09318494796753,3.64795422554016,9.45697021484375,0.749882405047234,4.94223594665527,1.37185323238373,4.77591180801392,2.71190977096558,8.35717582702637,0.759707043065034,-0.377840518951416,0.508611977100372,-0.253421068191528,-1.44064164161682,0.532222747802734,0.281659907004395,0.197101338704427,0.193784059651693,2.31502629439073e-06,85140.0,21.5607815424601,1980048
0.35,learnable,5,6.25611162185669,1.57491040229797,6.52254486083984,3.78941059112549,9.91685009002686,0.872156299848681,4.85150051116943,1.49264204502106,4.9805121421814,2.48669934272766,8.33963775634766,0.826597587610227,-0.506710052490234,0.730448782444,-0.433915495872498,-1.7325291633606,0.700565457344055,0.404509046464965,0.174940236409505,0.172144890340169,2.05473615702966e-06,85140.0,22.620410490036,854232
0.35,sinusoidal,5,6.06533098220825,1.1198205947876,6.32008790969849,4.13536405563355,7.90673208236694,0.620136050483565,4.75700330734253,1.04284203052521,4.72763442993164,2.93628096580505,6.50681495666504,0.577506582869104,-0.355300098657608,0.568794667720795,-0.204906940460205,-1.36894297599792,0.428166627883911,0.314987950685977,0.177961095174154,0.175103258260091,2.09021723248947e-06,85140.0,21.7501487255096,743962
0.35,rope,5,6.64473056793213,1.81746172904968,6.46674489974976,3.73332095146179,11.5461368560791,1.0064766788095,5.36118221282959,1.7390319108963,5.25696516036987,2.84270882606506,10.1276006698608,0.96304367759764,-0.608132064342499,0.708458721637726,-0.506605625152588,-1.91885375976563,0.51618218421936,0.392331399236471,0.196895202000936,0.19349011332194,2.31260514447893e-06,85140.0,21.5607815424601,1980048
0.4,learnable,5,6.64924383163452,1.4861615896225,6.78024911880493,4.20395183563232,9.44538116455078,0.823008820302436,5.22079277038574,1.42885208129883,5.4834246635437,2.70989847183228,8.00723361968994,0.791271831949768,-0.689208745956421,0.792946517467499,-0.460309743881226,-2.10415363311768,0.631468951702118,0.439119126051656,0.175732533137004,0.172867192586263,2.06404196778252e-06,85140.0,22.620410490036,854232
0.4,sinusoidal,5,6.37415838241577,1.16001808643341,6.66586923599243,4.59096717834473,8.15978050231934,0.642396571012136,5.09109687805176,1.08010411262512,5.31612682342529,3.35033202171326,6.92266464233398,0.59814175519031,-0.500958681106567,0.629899919033051,-0.277656197547913,-1.70214438438416,0.409159302711487,0.348826903924798,0.177962207794189,0.175018444824219,2.09023030061298e-06,85140.0,21.7501487255096,743962
0.4,rope,5,6.77363061904907,1.57408511638641,6.80597400665283,3.81752824783325,10.8408498764038,0.871699274534749,5.48092699050903,1.51112151145935,5.45835208892822,2.91129755973816,9.43743324279785,0.836831183384465,-0.663554787635803,0.660013198852539,-0.603076100349426,-1.80204129219055,0.387079060077667,0.365503118433929,0.198646322886149,0.195346650187175,2.33317269069943e-06,85140.0,21.5607815424601,1980048
0.45,learnable,5,7.02206325531006,1.52759671211243,7.24183320999146,4.71416091918945,9.77663993835449,0.845954750962656,5.54002380371094,1.4494264125824,5.944495677948,3.10490131378174,8.15589618682861,0.802665568905526,-0.885634124279022,0.905889391899109,-0.66737687587738,-2.53853368759155,0.536587834358215,0.501664798052904,0.519955587387085,0.517101728312175,6.10706586078324e-06,85140.0,22.620410490036,854232
0.45,sinusoidal,5,6.71490621566773,1.21961092948914,6.74086999893189,4.7886176109314,8.83846855163574,0.675398017373224,5.39830493927002,1.18138885498047,5.35977697372437,3.56194710731506,7.47541952133179,0.654231353375745,-0.646180808544159,0.621654689311981,-0.505613565444946,-1.78750133514404,0.36306220293045,0.344260869480685,0.177464119593302,0.174612927246094,2.08438007509164e-06,85140.0,21.7501487255096,743962
0.45,rope,5,7.08678436279297,1.59377837181091,7.04439163208008,3.83088755607605,10.8159217834473,0.882605049078402,5.77303266525269,1.54499220848084,5.49693918228149,2.89004182815552,9.57349681854248,0.855588141464473,-0.817815184593201,0.683202624320984,-0.809520721435547,-1.91645216941834,0.360913038253784,0.37834501839842,0.197855790456136,0.194552227783203,2.32388760225671e-06,85140.0,21.5607815424601,1980048
0.5,learnable,5,7.24789714813232,1.6305730342865,7.59523153305054,4.71324777603149,10.4607915878296,0.902981155162214,5.75835657119751,1.55283141136169,6.04885721206665,3.10435390472412,8.73148822784424,0.859929434509455,-1.0142685174942,0.966273903846741,-0.699921131134033,-2.51102828979492,0.536767363548279,0.535104637157432,0.177254072825114,0.174284584554036,2.08191300006007e-06,85140.0,22.620410490036,854232
0.5,sinusoidal,5,6.81815338134766,1.23977029323578,7.19141244888306,4.42778301239014,8.53591632843018,0.686561899359905,5.50057315826416,1.15598404407501,5.81512212753296,3.52690410614014,7.22045230865479,0.640162580141938,-0.74239194393158,0.782328724861145,-0.3981614112854,-2.24525713920593,0.465216040611267,0.433239191769707,0.176868406931559,0.173951792399089,2.07738321507587e-06,85140.0,21.7501487255096,743962
0.5,rope,5,7.24269533157349,1.57248568534851,7.31858110427856,4.02734470367432,10.9805212020874,0.870813540300462,5.88967657089233,1.52360534667969,5.85002565383911,3.09506344795227,9.6249885559082,0.843744474273083,-0.89276260137558,0.682439565658569,-1.01059508323669,-1.968097448349,0.302287399768829,0.377922413802188,0.198124837875366,0.194756509399414,2.32704766120938e-06,85140.0,21.5607815424601,1980048
0.0,learnable,3,0.7292671799659729,0.11234525591135025,0.6780855655670166,0.6025898456573486,0.9347591996192932,0.06221472814629858,0.5690135955810547,0.0900261402130127,0.5578319430351257,0.44678282737731934,0.7127389311790466,0.04985481410903858,0.9792531728744507,0.010564472526311874,0.9793397188186646,0.9537644386291504,0.9929181933403015,0.00585040990734742,0.19988137880961102,0.19714129943847655,2.3476788678601244e-06,85140.0,22.62041049003601,854232
0.0,sinusoidal,3,0.7284952998161316,0.11796469986438751,0.7084187269210815,0.6084376573562622,0.9458377957344055,0.06532667103652268,0.5724313259124756,0.08998758345842361,0.5705486536026001,0.47864747047424316,0.7478336095809937,0.04983346095953711,0.9793210625648499,0.01136050745844841,0.9791859984397888,0.9503462314605713,0.9917402267456055,0.006291239087093614,0.19660282135009766,0.19395227966308592,2.309171028307466e-06,85140.0,21.750148725509643,743962
0.0,rope,3,0.7221101522445679,0.10778134316205978,0.6832446455955505,0.5865309238433838,0.9303179383277893,0.05968731823560747,0.564784824848175,0.08247748017311096,0.5313296318054199,0.458406537771225,0.720867395401001,0.04567450663289785,0.979767918586731,0.010512793436646461,0.9796006083488464,0.9528566002845764,0.9914831519126892,0.005821790894299461,0.260833215713501,0.2573998280843099,3.0635801704663023e-06,85140.0,21.560781542460123,1980048
0.01,learnable,3,0.9930368661880493,0.15012839436531067,1.0153061151504517,0.7911352515220642,1.2788289785385132,0.08313832179237113,0.6944485306739807,0.10927487164735794,0.6821693181991577,0.525914192199707,0.8751291632652283,0.06051441020955206,0.9622730612754822,0.01774410530924797,0.961463987827301,0.9221307039260864,0.9871573448181152,0.00982635785519237,0.17568381627400717,0.17284830627441405,2.0634697706601737e-06,85140.0,22.62041049003601,854232
0.01,sinusoidal,3,1.0495209693908691,0.1160469725728035,1.0202486515045166,0.8615527749061584,1.2794634103775024,0.06426467044820305,0.7154662013053894,0.10249088704586029,0.6865476369857788,0.5767614841461182,0.8842104077339172,0.05675755825964246,0.958149790763855,0.017781991511583328,0.9557704925537109,0.922654390335083,0.9856938123703003,0.009847338473133238,0.17187193234761555,0.16909179484049477,2.018697819445802e-06,85140.0,21.750148725509643,743962
0.01,rope,3,1.023496150970459,0.16221818327903748,1.026190996170044,0.7447845935821533,1.2916697263717651,0.08983343103330466,0.7147249579429626,0.11238694936037064,0.7333232164382935,0.5282019972801208,0.9577733278274536,0.062237811120633424,0.9591576457023621,0.02570946514606476,0.9664561748504639,0.8760271668434143,0.9850857257843018,0.014237427160079918,0.19499711990356444,0.1914465810139974,2.2903114858299796e-06,85140.0,21.560781542460123,1980048
0.02,learnable,3,1.2308118343353271,0.14836180210113525,1.2616463899612427,0.9666039347648621,1.5409388542175293,0.08216002395210653,0.8377928137779236,0.13655884563922882,0.8205024003982544,0.6235079765319824,1.1652133464813232,0.0756237709575297,0.9435545206069946,0.022722767665982246,0.9544380903244019,0.8986968994140625,0.9685215950012207,0.012583448953481624,0.20668411254882812,0.20385021870930983,2.427579428574443e-06,85140.0,22.62041049003601,854232
0.02,sinusoidal,3,1.2571263313293457,0.14329467713832855,1.2595065832138062,1.0022988319396973,1.5436742305755615,0.07935395244418908,0.8419538140296936,0.11110258847475052,0.8572899699211121,0.684002697467804,1.0375827550888062,0.06152656547582691,0.9403276443481445,0.023607656359672546,0.9395206570625305,0.9025979042053223,0.9757503867149353,0.013073483759657334,0.1742040793100993,0.17109692586263017,2.0460897264517184e-06,85140.0,21.750148725509643,743962
0.02,rope,3,1.3096678256988525,0.29193565249443054,1.169057846069336,0.8438693881034851,1.8551664352416992,0.1616685660077286,0.9033839106559753,0.2169630378484726,0.8232846856117249,0.5765899419784546,1.34074866771698,0.12015013332339874,0.9367069602012634,0.035893816500902176,0.9434989094734192,0.8170249462127686,0.9675451517105103,0.0198773352627315,0.19103693962097168,0.18775402526855473,2.243797740438944e-06,85140.0,21.560781542460123,1980048
0.03,learnable,3,1.4176262617111206,0.17648530006408691,1.3833482265472412,1.1578773260116577,1.8308465480804443,0.09773429609766726,0.9591546654701233,0.16429507732391357,0.9195964336395264,0.7502261996269226,1.4226455688476562,0.09098357678357005,0.9254299402236938,0.02640305459499359,0.9136282801628113,0.8917667865753174,0.9642287492752075,0.014621524177632295,0.2489277680714925,0.2460831349690755,2.923746395014006e-06,85140.0,22.62041049003601,854232
0.03,sinusoidal,3,1.454782485961914,0.11400623619556427,1.4639256000518799,1.2841992378234863,1.669350266456604,0.06313454752025782,0.965842068195343,0.10337948799133301,0.939669132232666,0.8274475932121277,1.1493475437164307,0.0572496514774703,0.9205583333969116,0.029417045414447784,0.9155323505401611,0.8763123154640198,0.9666310548782349,0.0162906173778955,0.16956974665323893,0.16672413736979166,1.9916578183373144e-06,85140.0,21.750148725509643,743962
0.03,rope,3,1.5609755516052246,0.35338911414146423,1.5409624576568604,0.975864052772522,2.1651079654693604,0.19570034877323517,1.05683171749115,0.2726896107196808,0.9968181252479553,0.6263270974159241,1.5743041038513184,0.15101046402843377,0.9107166528701782,0.04169943556189537,0.9207091927528381,0.7874629497528076,0.9726686477661133,0.023092374514528835,0.19042959213256835,0.18718591613769534,2.2366642251887285e-06,85140.0,21.560781542460123,1980048
0.04,learnable,3,1.6327381134033203,0.2222423553466797,1.595759391784668,1.2835798263549805,2.0379638671875,0.12307371307068671,1.0920889377593994,0.2008349895477295,1.0743882656097412,0.829503059387207,1.5096687078475952,0.11121870813593193,0.9039880633354187,0.027503248304128647,0.9042007923126221,0.8679526448249817,0.9499486088752747,0.015230791055547033,0.17028698921203614,0.1675090016682943,2.0000820908155523e-06,85140.0,22.62041049003601,854232
0.04,sinusoidal,3,1.572481393814087,0.15767207741737366,1.513796091079712,1.344651460647583,1.825555682182312,0.08731588471964247,1.0345280170440674,0.11915792524814606,1.0342233180999756,0.8436599969863892,1.2600246667861938,0.06598745613290014,0.9047412872314453,0.042895033955574036,0.9070627689361572,0.8288141489028931,0.9651519060134888,0.023754477953158104,0.1729463259379069,0.16998802388509113,2.031316959571375e-06,85140.0,21.750148725509643,743962
0.04,rope,3,1.7684991359710693,0.5128791332244873,1.6992288827896118,1.0622458457946777,2.986764907836914,0.2840229835559205,1.2170941829681396,0.41292035579681396,1.2310888767242432,0.6634669899940491,2.0972330570220947,0.2286676620549326,0.8793318867683411,0.08407145738601685,0.902862548828125,0.6146219968795776,0.969177782535553,0.04655722066493573,0.19424595832824706,0.1906053243001302,2.2814888222721055e-06,85140.0,21.560781542460123,1980048
0.05,learnable,3,1.7263133525848389,0.22598585486412048,1.681309700012207,1.3971809148788452,2.182750940322876,0.12514679427659736,1.1512467861175537,0.21189869940280914,1.1029179096221924,0.8489599823951721,1.574528455734253,0.11734557990655903,0.8876370191574097,0.0438942015171051,0.876733124256134,0.8278375864028931,0.9552947878837585,0.024307798181137374,0.17620795567830402,0.1731441853841146,2.0696259769591736e-06,85140.0,22.62041049003601,854232
