noise_level,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.05,0.752934694290161,0.126650258898735,0.721745669841766,0.606775283813477,1.09278249740601,0.0701365748273463,0.588696539402008,0.0925192534923553,0.564162731170654,0.483146697282791,0.845631957054138,0.051235454024624,0.978365361690521,0.0104177445173263,0.976544380187988,0.953075706958771,0.990424036979675,0.005769154581783,0.164258654912313,0.161506399536133,1.92927713075303e-06,85140.0,18.0065295378367,1407058
0.1,0.764992952346802,0.125881567597389,0.731415390968323,0.62299782037735,1.10964941978455,0.0697108861092403,0.598491489887238,0.0910109430551529,0.568675041198731,0.491428017616272,0.847212135791779,0.0504001803387657,0.97768235206604,0.0105312038213014,0.975966691970825,0.95214968919754,0.990824520587921,0.0058319865737516,0.163156032562256,0.16033483988444,1.91632643366521e-06,85140.0,18.0065295378367,1407058
0.15,0.794891357421875,0.124321103096008,0.771420001983643,0.632733762264252,1.14261305332184,0.0688467327381161,0.624733626842499,0.0926101058721542,0.626915514469147,0.506854951381683,0.888321340084076,0.0512857667589217,0.975998282432556,0.0110998069867491,0.973713994026184,0.94814145565033,0.989925503730774,0.0061468681262278,0.160734875996908,0.157970644124349,1.88788907677834e-06,85140.0,18.0065295378367,1407058
0.2,0.826171815395355,0.12083475291729,0.814583003520966,0.647788465023041,1.13668072223663,0.0669160524702747,0.646206796169281,0.0867358818650245,0.628719091415405,0.516180634498596,0.854782998561859,0.0480327292879507,0.974308013916016,0.0109959673136472,0.974624335765839,0.94906622171402,0.988577246665955,0.0060893634354494,0.16814546585083,0.165177177937826,1.97492912674219e-06,85140.0,18.0065295378367,1407058
0.25,0.875147759914398,0.130837306380272,0.860183894634247,0.697561800479889,1.20619559288025,0.0724552831696361,0.685470521450043,0.0968948379158973,0.651212573051453,0.555016696453095,0.925292015075684,0.0536585710782739,0.97103762626648,0.0127558205276727,0.968636810779572,0.941545248031616,0.988304316997528,0.0070639384569689,0.161814244588216,0.159066018676758,1.90056665008476e-06,85140.0,18.0065295378367,1407058
0.3,0.950259506702423,0.124619238078594,0.928658843040466,0.765230476856232,1.28250050544739,0.0690118371277506,0.747946381568909,0.0956776663661003,0.733835279941559,0.611096739768982,1.00954794883728,0.0529845226598487,0.96615082025528,0.0142475645989179,0.964232504367828,0.93141359090805,0.983823359012604,0.0078900381786203,0.160925769805908,0.15818906656901,1.89013119339803e-06,85140.0,18.0065295378367,1407058
0.35,1.00572919845581,0.135417267680168,0.993416786193848,0.770203709602356,1.32164406776428,0.0749915739131319,0.786959767341614,0.101372338831425,0.775571167469025,0.608455538749695,0.988652288913727,0.0561381251652274,0.962113738059998,0.0156437531113624,0.964127421379089,0.925219714641571,0.984672009944916,0.0086632214400267,0.257289489110311,0.254570649210612,3.02195782370579e-06,85140.0,18.0065295378367,1407058
0.4,1.06637859344482,0.111957252025604,1.0535501241684,0.891610741615295,1.27733516693115,0.0619998583341498,0.835533022880554,0.0860431343317031,0.83007287979126,0.712709367275238,0.995300233364105,0.0476490996826513,0.957589864730835,0.016385443508625,0.95879191160202,0.91752278804779,0.981130123138428,0.0090739559622728,0.260614665349325,0.257868884277344,3.0610132176336e-06,85140.0,18.0065295378367,1407058
0.45,1.1208473443985,0.133881315588951,1.11028265953064,0.858063340187073,1.38163769245148,0.0741409874822709,0.876218020915985,0.107183836400509,0.871009647846222,0.689908742904663,1.07392084598541,0.0593564343053066,0.952818155288696,0.0194206070154905,0.955476403236389,0.908210039138794,0.980623364448547,0.0107547744186233,0.160193983713786,0.157468962605794,1.88153610187674e-06,85140.0,18.0065295378367,1407058
0.5,1.2037752866745,0.141345411539078,1.20458734035492,0.887183129787445,1.45740222930908,0.0782744778285693,0.945800125598908,0.117246642708778,0.931393027305603,0.697286307811737,1.14638483524323,0.0649290230586132,0.946267545223236,0.0201919730752706,0.951187968254089,0.907788515090942,0.973397970199585,0.0111819412780419,0.161575937271118,0.15879209391276,1.89776764471598e-06,85140.0,18.0065295378367,1407058
0.0,0.7480738162994385,0.12824304401874542,0.7173523902893066,0.5969637036323547,1.095267415046692,0.07101862569328177,0.5858083367347717,0.09475462138652802,0.5623940229415894,0.47466030716896057,0.8490615487098694,0.05247335342913617,0.9786393046379089,0.010309620760381222,0.9768767356872559,0.9537050127983093,0.9906793832778931,0.005709277374323585,0.1911749521891276,0.1872228200276693,2.2454187478168617e-06,85140.0,18.00652953783671,1407058
