noise_level,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.0,0.7891973257064819,0.22776871919631958,0.7707535624504089,0.3834886848926544,1.5832021236419678,0.057362808014451594,0.6100487112998962,0.16450156271457672,0.5927820205688477,0.2881125509738922,1.1185705661773682,0.041429177474677004,0.9609785079956055,0.026104794815182686,0.9704497456550598,0.8505982160568237,0.9876254200935364,0.006574407211102584,0.18550060287354483,0.18257421657017298,2.0467902777617217e-06,90630.0,843.3767278194427,60076
0.05,0.7940558791160583,0.22693218290805817,0.7831606864929199,0.3864114582538605,1.5823774337768555,0.057152128309479355,0.613440990447998,0.16376091539859772,0.5947455763816833,0.29116663336753845,1.10561203956604,0.04124264757735818,0.9605205655097961,0.02627776376903057,0.969165563583374,0.8491777181625366,0.9874276518821716,0.006617969763074938,0.18332527554224406,0.18035810730949284,2.022787990094274e-06,90630.0,843.3767278194427,60076
0.1,0.8104179501533508,0.2286151498556137,0.8109027743339539,0.400152325630188,1.5836093425750732,0.0575759786570309,0.6278089284896851,0.16525965929031372,0.6131756901741028,0.3042756915092468,1.0981758832931519,0.04162010467739796,0.9590110182762146,0.02672550082206726,0.9688254594802856,0.8464702367782593,0.987192690372467,0.0067307303011381325,0.1895419188908168,0.1863368484254867,2.091381649462836e-06,90630.0,843.3767278194427,60076
0.15,0.8366219401359558,0.22481462359428406,0.8428173065185547,0.40935200452804565,1.5244771242141724,0.056618833088945664,0.6495327949523926,0.1648884266614914,0.6449158191680908,0.3141811490058899,1.1211272478103638,0.041526610741200676,0.9566003680229187,0.02720537967979908,0.9677115082740784,0.8417522311210632,0.9872960448265076,0.006851585455580955,0.18373105261060926,0.1807467866927858,2.0272652831359293e-06,90630.0,843.3767278194427,60076
0.2,0.8761614561080933,0.23457549512386322,0.879892110824585,0.4018039405345917,1.6558772325515747,0.05907707574375398,0.680282473564148,0.17170950770378113,0.6867185235023499,0.30876395106315613,1.1735224723815918,0.04324447897374106,0.9530707001686096,0.02799231931567192,0.9635053873062134,0.8346565365791321,0.9841628074645996,0.007049774635036754,0.2395819936479841,0.23665436008998325,2.6435175289416756e-06,90630.0,843.3767278194427,60076
0.25,0.9181581139564514,0.23302055895328522,0.9049760103225708,0.43812933564186096,1.666579246520996,0.05868546982023548,0.7126416563987732,0.17219708859920502,0.7115956544876099,0.33967599272727966,1.186110496520996,0.04336727586803757,0.9485896229743958,0.02886084094643593,0.9597703218460083,0.8431425094604492,0.9838764667510986,0.007268508464689849,0.1847205086359902,0.1814741552443732,2.0381828162417544e-06,90630.0,843.3767278194427,60076
0.3,0.9710075259208679,0.2500956356525421,0.9791631102561951,0.4594127833843231,1.709436297416687,0.06298576642060638,0.7563654184341431,0.18839628994464874,0.7520613670349121,0.357577919960022,1.239897608757019,0.047446996033750466,0.9427350163459778,0.032214611768722534,0.9530598521232605,0.8301061391830444,0.9834545850753784,0.008113145753340989,0.18643837504916722,0.18353332495310953,2.05713753778183e-06,90630.0,843.3767278194427,60076
0.35,1.0453184843063354,0.2612200677394867,1.0791597366333008,0.4872564673423767,1.8263440132141113,0.06578741963811541,0.8118838667869568,0.19646675884723663,0.8300803303718567,0.380357563495636,1.3750513792037964,0.04947951176020904,0.9345399737358093,0.0345550961792469,0.9449819922447205,0.8211877346038818,0.982934832572937,0.008702588531993793,0.17882956398857963,0.17612059699164498,1.973182875301552e-06,90630.0,843.3767278194427,60076
0.4,1.1095033884048462,0.2783255875110626,1.1124145984649658,0.5552750825881958,1.8613157272338867,0.07009540128365987,0.8628676533699036,0.210835263133049,0.8640594482421875,0.4321957528591156,1.3820834159851074,0.05309817389599614,0.9259102940559387,0.03863266855478287,0.9361791610717773,0.8062509894371033,0.9767976999282837,0.009729512001763752,0.20843088816082667,0.2050133226182726,2.2998001562487775e-06,90630.0,843.3767278194427,60076
0.45,1.1899141073226929,0.30052894353866577,1.1723241806030273,0.5663053393363953,1.9830009937286377,0.07568723227816165,0.9259061813354492,0.23029178380966187,0.9156166911125183,0.4309922158718109,1.5096524953842163,0.05799823540025373,0.9155542850494385,0.042755983769893646,0.9272015690803528,0.7827020883560181,0.974321186542511,0.01076795466170144,0.1942913948543488,0.19119731842525423,2.1437867687779858e-06,90630.0,843.3767278194427,60076
0.5,1.2696000337600708,0.3273880183696747,1.2605016231536865,0.6103761196136475,2.08437442779541,0.08245160606133872,0.990300714969635,0.25156959891319275,0.9667736887931824,0.47263896465301514,1.6148170232772827,0.06335697197469337,0.9049646258354187,0.04661707580089569,0.9180958867073059,0.7715290784835815,0.9667956829071045,0.011740357688052372,0.1981785146016923,0.19486306375170515,2.186676758266494e-06,90630.0,843.3767278194427,60076
