noise_level,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.0,learnable,0.7602400183677673,0.1913232058286667,0.7471262216567993,0.389206975698471,1.3439531326293943,0.0741873955783687,0.5776457190513611,0.139294758439064,0.5623091459274292,0.3059638142585754,1.011268138885498,0.0540128761403452,0.9586464762687684,0.028596868738532,0.966530442237854,0.8692768812179565,0.988103985786438,0.0110887087313914,0.4857552562441145,0.4779546868460519,3.0965465432786034e-06,156870.0,46.29511244807925,2335718
0.0,sinusoidal,0.7456002831459045,0.1840402781963348,0.7269160151481628,0.3932383358478546,1.329607009887695,0.0713633750034254,0.5676583647727966,0.1322769373655319,0.5510352849960327,0.3076861798763275,0.982874870300293,0.0512916475631387,0.9588913321495056,0.0320232100784778,0.9654428958892822,0.8605232834815979,0.9887362122535706,0.0124173046656281,0.5073921765599932,0.500755016871861,3.234475531076644e-06,156870.0,53.09417430843626,2959471
0.0,rope,0.7478824853897095,0.1946691125631332,0.708936870098114,0.3949914574623108,1.3293662071228027,0.0754848005849014,0.5636321902275085,0.138776496052742,0.5372069478034973,0.3098173439502716,0.9874515533447266,0.0538119089181192,0.9599848985671996,0.0284768138080835,0.966981053352356,0.8743762969970703,0.988676369190216,0.0110421559493258,0.5017755712781634,0.4965146320887975,3.1986713283493555e-06,156870.0,52.1440777693476,2209961
0.05,learnable,0.7638886570930481,0.1913061141967773,0.7498819231987,0.3973961770534515,1.3518967628479004,0.0741807608777415,0.5806208848953247,0.1391737014055252,0.5652627944946289,0.3138326406478882,1.018053412437439,0.0539659287541094,0.958217978477478,0.0287801660597324,0.965368151664734,0.8693336248397827,0.9876726269721984,0.0111597833440442,0.47713417666299,0.4694589745657785,3.041589702702812e-06,156870.0,46.29511244807925,2335718
0.05,sinusoidal,0.7494887113571167,0.1858578473329544,0.7255414724349976,0.399991363286972,1.3410714864730835,0.0720681514281222,0.5706589818000793,0.1333969980478286,0.5508632063865662,0.3112250566482544,0.9912847876548768,0.051725956747806,0.9584257006645204,0.0323410108685493,0.9647825956344604,0.8591611981391907,0.9886656999588012,0.012540534866291,0.4868642943246024,0.4816653507777623,3.103616334063889e-06,156870.0,53.09417430843626,2959471
0.05,rope,0.7521643042564392,0.1955979168415069,0.7104310393333435,0.4015291929244995,1.3437139987945557,0.075844954760196,0.5674141049385071,0.1404653936624527,0.5399632453918457,0.3149029612541199,1.003472924232483,0.054466795145818,0.9595659971237184,0.0285171773284673,0.9663413763046264,0.8737996816635132,0.9886108040809632,0.0110578082629313,0.4825178129332406,0.4754343087332589,3.075908796667563e-06,156870.0,52.1440777693476,2209961
0.1,learnable,0.7757635116577148,0.1922054141759872,0.7543415427207947,0.4173116683959961,1.3750100135803225,0.0745294801312176,0.5912806391716003,0.1412233263254165,0.5682660341262817,0.3309337794780731,1.037625432014465,0.0547606902169797,0.956926167011261,0.0291199181228876,0.9621615409851074,0.8705923557281494,0.9865612387657166,0.0112915257203821,0.5056857296398708,0.5005957467215402,3.2235974350728047e-06,156870.0,46.29511244807925,2335718
0.1,sinusoidal,0.7619813680648804,0.1858926117420196,0.7304925322532654,0.4215034544467926,1.353363037109375,0.0720816348519777,0.5812153220176697,0.1354396492242813,0.5590561628341675,0.330881267786026,1.012078881263733,0.0525180161753402,0.957349419593811,0.0325119420886039,0.963187336921692,0.8586746454238892,0.9875104427337646,0.0126068149905008,0.4999240636825561,0.4940642711094448,3.186868513307555e-06,156870.0,53.09417430843626,2959471
0.1,rope,0.7684678435325623,0.201794221997261,0.7270175218582153,0.414623349905014,1.377547025680542,0.0782476336269861,0.5803890228271484,0.1446691006422042,0.5552027821540833,0.3281404972076416,1.0309840440750122,0.0560968218487751,0.9580739736557008,0.029247498139739,0.9651370048522948,0.8710561394691467,0.9876357913017272,0.0113409964713007,0.5075595549174717,0.5030040915352958,3.2355425187573894e-06,156870.0,52.1440777693476,2209961
0.15,learnable,0.8012700080871582,0.2004328668117523,0.773372232913971,0.4402427971363067,1.4426376819610596,0.077719762169245,0.6118932366371155,0.1481336951255798,0.5814390182495117,0.3487759530544281,1.0904632806777954,0.0574402455363292,0.9542717933654784,0.030425788834691,0.9596362113952636,0.8645511269569397,0.9850956797599792,0.0117978898176509,0.496516866343362,0.4878357118879046,3.165148634814572e-06,156870.0,46.29511244807925,2335718
0.15,sinusoidal,0.7802693247795105,0.1886826008558273,0.7583825588226318,0.4482849240303039,1.394208908081055,0.0731634732374386,0.5959979891777039,0.1403281241655349,0.5801234841346741,0.3514921963214874,1.0569379329681396,0.0544135608456815,0.9552972912788392,0.0335685424506664,0.962178349494934,0.8531954884529114,0.986393392086029,0.0130165220861054,0.4700750112533569,0.4620742732456752,2.9965896044709438e-06,156870.0,53.09417430843626,2959471
0.15,rope,0.7852483987808228,0.2056146711111068,0.7306538224220276,0.4369145631790161,1.4292223453521729,0.0797290445646251,0.5971933007240295,0.1481238901615142,0.5638149976730347,0.341258555650711,1.0766710042953491,0.0574364504569957,0.9561028480529784,0.0301644969731569,0.9630154371261596,0.8713916540145874,0.9861335158348083,0.0116965711362113,0.5081915940557208,0.5017967191423688,3.239571581919556e-06,156870.0,52.1440777693476,2209961
0.2,learnable,0.8313998579978943,0.2165786176919937,0.7890984416007996,0.4722587168216705,1.5322531461715698,0.0839804200831567,0.6356555223464966,0.1646629869937896,0.5943039655685425,0.3738240003585815,1.1913670301437378,0.063849641514188,0.9513878226280212,0.031053913757205,0.9560320377349854,0.8627806901931763,0.9846524000167848,0.0120414513592842,0.4879436322620937,0.4822525449480329,3.1104967951940697e-06,156870.0,46.29511244807925,2335718
0.2,sinusoidal,0.8054906129837036,0.20422224700450897,0.7644040584564209,0.4810326397418976,1.4879239797592163,0.07918912669192024,0.6196287870407104,0.1512439250946045,0.5935771465301514,0.38055452704429626,1.1107430458068848,0.058646278179614986,0.9521746039390564,0.035601310431957245,0.9597147703170776,0.8520808815956116,0.9861125946044922,0.013804747260526606,0.48786146300179617,0.4835945532662528,3.1099729903856447e-06,156870.0,53.09417430843626,2959471
0.2,rope,0.8184075951576233,0.2036736011505127,0.7726844549179077,0.47972965240478516,1.4548708200454712,0.07897638058298151,0.6267317533493042,0.1502343714237213,0.5854377746582031,0.380451500415802,1.1067349910736084,0.05825480791161308,0.9524601101875305,0.0318598672747612,0.959242582321167,0.8649225831031799,0.9834362864494324,0.012353967352180417,0.47522410324641634,0.47076092311314166,3.029413547819318e-06,156870.0,52.1440777693476,2209961
0.25,learnable,0.8716367483139038,0.2204475700855255,0.8629202246665955,0.5201857686042786,1.572073221206665,0.08548064972234459,0.6679307818412781,0.16376765072345734,0.6354666352272034,0.41228100657463074,1.1965992450714111,0.06350246628090395,0.9462006688117981,0.033879347145557404,0.9523063898086548,0.8608030676841736,0.9846245646476746,0.013137039741393686,0.486947877066476,0.4826878422328404,3.104149149400625e-06,156870.0,46.295112448079244,2335718
0.25,sinusoidal,0.8441582322120667,0.21045464277267456,0.8060318231582642,0.5338236689567566,1.5510557889938354,0.08160579346441066,0.6491297483444214,0.15947124361991882,0.610415518283844,0.4238475561141968,1.1823748350143433,0.06183649906832778,0.9479843974113464,0.03672859072685242,0.95809006690979,0.8445090055465698,0.9853913187980652,0.014241860714540255,0.46281454392841886,0.4585403137207031,2.9503062658788735e-06,156870.0,53.09417430843626,2959471
