probability,scale_factor,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.0,5,0.76872318983078,0.1989663541316986,0.7518587708473206,0.4110792875289917,1.4191340208053589,0.0771510964750432,0.5905265212059021,0.145994946360588,0.5850757360458374,0.3241772651672363,1.0767619609832764,0.0566109308889133,0.9563571214675904,0.0337546579539775,0.9672437310218812,0.8535221219062805,0.9880152344703674,0.0130886916536717,0.4558813571929931,0.4507664467947823,2.9061092445527704e-06,156870.0,41.78763102633612,3163264
0.05,5,1.691130518913269,0.5288095474243164,1.511277437210083,1.063973307609558,3.157306909561157,0.2050509416114367,1.106967210769653,0.2707510888576507,1.0484892129898071,0.682608425617218,1.6203385591506958,0.1049863179579617,0.792630136013031,0.1428158730268478,0.8213838934898376,0.3157714009284973,0.9609861373901368,0.0553782142134965,0.4521830933434622,0.4468569074358258,2.882533902871564e-06,156870.0,41.78763102633612,3163264
0.1,5,2.2957184314727783,0.7187464833259583,2.027154922485352,1.3800232410430908,4.223791122436523,0.2787008117840317,1.567411184310913,0.4085254073143005,1.426727056503296,0.9732095003128052,2.392663717269897,0.158409622982198,0.6216457486152649,0.2596815824508667,0.6684324741363525,-0.2000279426574707,0.9298710823059082,0.1006940106170118,0.4382091505186898,0.4330769936697823,2.7934541373027978e-06,156870.0,41.78763102633612,3163264
0.15,5,2.7421629428863525,0.8821021914482117,2.4573473930358887,1.6096612215042114,5.1623854637146,0.342043552233533,1.9418522119522093,0.5516002774238586,1.8151605129241943,1.152984857559204,3.15811824798584,0.2138882711229892,0.47267746925354,0.3404517471790313,0.5073467493057251,-0.5419571399688721,0.9118049144744872,0.1320134053872871,0.445536196231842,0.4402083783830915,2.8401618934904186e-06,156870.0,41.78763102633612,3163264
0.2,5,3.100902557373047,1.0068265199661257,2.807842493057251,1.8601552248001096,5.893282890319824,0.3904065756755481,2.264615774154663,0.6633356213569641,2.1124281883239746,1.3438644409179688,3.900058507919312,0.2572146854111743,0.3225059509277344,0.4507079720497131,0.3801327347755432,-1.0740489959716797,0.8647685050964355,0.1747663308290862,0.4708016429628645,0.4658050744192941,3.001221667386144e-06,156870.0,41.78763102633612,3163264
0.25,5,3.42063570022583,1.1134576797485352,3.008654832839966,2.003730058670044,6.518460750579834,0.4317538159620984,2.549696445465088,0.7727206349372864,2.3159890174865723,1.525261640548706,4.525952339172363,0.2996298067521419,0.1824994385242462,0.536612331867218,0.2783852219581604,-1.4675524234771729,0.8526224493980408,0.2080765485454158,0.4296589834349496,0.4250535398210798,2.7389493429906904e-06,156870.0,41.78763102633612,3163264
0.3,5,3.7332217693328857,1.2283835411071775,3.4808311462402344,2.098903179168701,7.179614067077637,0.4763174184693257,2.8313865661621094,0.8812611103057861,2.654120922088623,1.6120538711547852,5.16024112701416,0.3417173817897923,0.0297210905700922,0.6555240154266357,0.1348324418067932,-2.1181745529174805,0.8211663365364075,0.2541856846902385,0.4387361833027431,0.4340888377598354,2.796813815916001e-06,156870.0,41.78763102633612,3163264
0.35,5,4.00935697555542,1.3450819253921509,3.691649436950684,2.141162157058716,7.87106466293335,0.521568308697292,3.069713830947876,0.9970288872718812,2.842108249664306,1.688184142112732,5.841851234436035,0.3866074604873328,-0.118033729493618,0.7443751692771912,0.0309760868549346,-2.396170139312744,0.7932465672492981,0.2886385537853361,0.4303470509392874,0.4257853458949498,2.743335570467824e-06,156870.0,41.78763102633612,3163264
0.4,5,4.204864025115967,1.3939272165298462,3.889060497283936,2.3383681774139404,8.055476188659668,0.5405085750833711,3.2499775886535645,1.0465469360351562,2.9872055053710938,1.8467429876327517,6.110626220703125,0.4058085592745692,-0.2286138981580734,0.8576927781105042,-0.0734201669692993,-3.1612672805786133,0.7495678663253784,0.3325785555829145,0.4666096227509634,0.461988545009068,2.9744987744690725e-06,156870.0,41.78763102633612,3163264
0.45,5,4.426588535308838,1.4608854055404663,4.04766321182251,2.466412305831909,8.659394264221191,0.5664722682892327,3.466350793838501,1.1412144899368286,3.161728858947754,1.9441163539886477,6.79623556137085,0.4425167985377372,-0.3660595417022705,0.9510557055473328,-0.2149761915206909,-3.55603551864624,0.7394876480102539,0.3687809065669172,0.4617296883038112,0.4572055260794503,2.943390631120107e-06,156870.0,41.78763102633612,3163264
