probability,scale_factor,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.0,3,0.7891973257064819,0.22776871919631958,0.7707535624504089,0.3834886848926544,1.5832021236419678,0.057362808014451594,0.6100487112998962,0.16450156271457672,0.5927820205688477,0.2881125509738922,1.1185705661773682,0.041429177474677004,0.9609785079956055,0.026104794815182686,0.9704497456550598,0.8505982160568237,0.9876254200935364,0.006574407211102584,0.20172318958100818,0.1987579181005084,2.2257882553349683e-06,90630.0,843.3767278194427,60076
0.01,3,0.9622499346733093,0.23334385454654694,0.9675482511520386,0.4458068013191223,1.6628077030181885,0.05876688885260606,0.6733967661857605,0.16932354867458344,0.660983145236969,0.3149057924747467,1.1825820207595825,0.04264358216397601,0.9441320896148682,0.031224675476551056,0.9559699892997742,0.8212670087814331,0.9820542931556702,0.007863832313522723,0.17841652839902847,0.17544483971974206,1.9686254926517544e-06,90630.0,843.3767278194427,60076
0.02,3,1.1427087783813477,0.2920103669166565,1.1624950170516968,0.5511139631271362,1.9450099468231201,0.07354186851433675,0.7543759942054749,0.19830580055713654,0.7531479597091675,0.35756170749664307,1.3017655611038208,0.04994267349678372,0.9237198233604431,0.035918962210416794,0.9372333884239197,0.8180179595947266,0.9725687503814697,0.009046072631342716,0.20296916507539295,0.19999120778886098,2.239536191938574e-06,90630.0,843.3767278194427,60076
0.03,3,1.317369818687439,0.32898786664009094,1.3753249645233154,0.5893746614456177,2.0731146335601807,0.08285452732026544,0.8452491760253906,0.2200564593076706,0.8717101216316223,0.3801752030849457,1.401023030281067,0.055420502207793376,0.9000727534294128,0.04308125004172325,0.9131301641464233,0.7711160778999329,0.9664177894592285,0.010849872626268464,0.20213720912025088,0.1991865704248822,2.230356494761678e-06,90630.0,843.3767278194427,60076
0.04,3,1.4455255270004272,0.37248361110687256,1.430601716041565,0.7376842498779297,2.3261821269989014,0.09380878475343524,0.919026255607605,0.2553010880947113,0.9195650219917297,0.4607336223125458,1.5852584838867188,0.06429674427689669,0.8805305361747742,0.049936313182115555,0.8922533392906189,0.7252548933029175,0.9600529670715332,0.01257629717363884,0.17975896502298022,0.17685534449986048,1.983437769204239e-06,90630.0,843.3767278194427,60076
0.05,3,1.570577621459961,0.39240503311157227,1.579359769821167,0.7470304369926453,2.4078116416931152,0.09882593521872818,0.9911015629768372,0.26318618655204773,1.003665804862976,0.453776478767395,1.6551713943481445,0.06628258377937413,0.8605039715766907,0.053664907813072205,0.8755378127098083,0.6969317197799683,0.9490246772766113,0.013515332247671319,0.1786626180013021,0.1758112485370939,1.9713408143142676e-06,90630.0,843.3767278194427,60076
0.06,3,1.7076423168182373,0.4183381497859955,1.7594622373580933,0.8304198980331421,2.5560765266418457,0.10535710660397957,1.0844496488571167,0.2860454022884369,1.1286779642105103,0.5158705711364746,1.758182406425476,0.07203960601136394,0.8352880477905273,0.062412336468696594,0.848624050617218,0.653315007686615,0.9367582201957703,0.015718343158735326,0.17963263345143152,0.1767720024472191,1.9820438425624136e-06,90630.0,843.3767278194427,60076
0.07,3,1.8284398317337036,0.47733837366104126,1.8496391773223877,0.8809428215026855,2.7760353088378906,0.12021611166030066,1.1690137386322021,0.32602035999298096,1.2016431093215942,0.5684672594070435,2.051712989807129,0.08210716412387398,0.8116775751113892,0.07099445909261703,0.8337982892990112,0.6497057676315308,0.921271800994873,0.017879723018400684,0.17770288860987102,0.17487398662264383,1.9607512811416863e-06,90630.0,843.3767278194427,60076
0.08,3,1.9266234636306763,0.5239890813827515,2.0250344276428223,0.8880689740180969,3.3073627948760986,0.13196492978628704,1.240103840827942,0.3621911108493805,1.2568092346191406,0.5746358633041382,2.27148175239563,0.09121665327139805,0.7939322590827942,0.07646864652633667,0.8186036348342896,0.5578901767730713,0.9112114906311035,0.01925837879310144,0.1788932444557311,0.1761291918073382,1.9738855175519264e-06,90630.0,843.3767278194427,60076
0.09,3,2.050900936126709,0.559190571308136,2.0403048992156982,0.9928297400474548,3.494096517562866,0.1408302996015598,1.332905888557434,0.4018649458885193,1.3731831312179565,0.6336703300476074,2.5097806453704834,0.10120836624331297,0.7670664191246033,0.0831587165594101,0.7844144105911255,0.4933058023452759,0.8977177143096924,0.020943252341626972,0.18078743086920845,0.17799064490908664,1.994785731757789e-06,90630.0,843.3767278194427,60076
0.1,3,2.1468138694763184,0.5801839828491211,2.131910562515259,1.0225614309310913,3.156687021255493,0.1461174617460701,1.4004566669464111,0.41273993253707886,1.4365200996398926,0.6664904952049255,2.254305124282837,0.1039472061313258,0.744153618812561,0.09301694482564926,0.7620732188224792,0.43080568313598633,0.8969868421554565,0.023426015279861323,0.21300725331382145,0.21010326131184898,2.3502951926936057e-06,90630.0,843.3767278194427,60076
