probability,scale_factor,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.0,3,0.7983226180076599,0.11241443455219269,0.7978385090827942,0.6440285444259644,0.9863411784172058,0.062253039971129076,0.6033580303192139,0.06322722136974335,0.6028199791908264,0.509239673614502,0.7326945662498474,0.035014067592338494,0.9765729904174805,0.009772146120667458,0.9781215190887451,0.9480740427970886,0.9872782826423645,0.0054116341455326955,0.19271950721740722,0.18903808390299484,2.263560103563627e-06,85140.0,133.45703387260437,30331
0.01,3,0.9610753655433655,0.11430004984140396,0.9500351548194885,0.7973494529724121,1.1407455205917358,0.06329725492398008,0.6674471497535706,0.07768328487873077,0.653381884098053,0.5831823945045471,0.8457205891609192,0.04301957307669957,0.9660837054252625,0.012393669225275517,0.965656042098999,0.9329339265823364,0.9844095706939697,0.0068633851425530246,0.16979099909464518,0.16693011169433594,1.9942565080414046e-06,85140.0,133.45703387260437,30331
0.02,3,1.117538332939148,0.16337546706199646,1.099797248840332,0.901785135269165,1.5158809423446655,0.09047431315665766,0.7579027414321899,0.08757086843252182,0.7472079396247864,0.638949990272522,0.9288440346717834,0.04849513184027898,0.9551684260368347,0.014100270345807076,0.9557633996009827,0.9268563389778137,0.9729897379875183,0.0078084687480270976,0.17757836977640787,0.17462883707682295,2.0857219846888406e-06,85140.0,133.45703387260437,30331
0.03,3,1.336047887802124,0.2012537568807602,1.3377902507781982,1.021198034286499,1.720949649810791,0.1114506165229403,0.8858050107955933,0.10759246349334717,0.8871143460273743,0.7567839622497559,1.086295485496521,0.05958271776537427,0.9367491602897644,0.016404040157794952,0.9382417798042297,0.9051560759544373,0.9651991128921509,0.009084254012998283,0.18117427825927734,0.17817513427734377,2.1279572264420646e-06,85140.0,133.45703387260437,30331
0.04,3,1.3961683511734009,0.19375711679458618,1.3801403045654297,1.129465937614441,1.829441785812378,0.10729910883253502,0.9113388657569885,0.11256983876228333,0.9113207459449768,0.7651421427726746,1.1470654010772705,0.06233909576035468,0.9309253096580505,0.01713930070400238,0.9330074787139893,0.890737771987915,0.9560045003890991,0.009491428012420533,0.1731179714202881,0.17021998901367189,2.033332997654311e-06,85140.0,133.45703387260437,30331
0.05,3,1.5958434343338013,0.2736402750015259,1.4769699573516846,1.1895811557769775,2.1293084621429443,0.151536938014196,1.0345616340637207,0.15117444097995758,1.0517324209213257,0.808337926864624,1.277800440788269,0.08371760936773298,0.9097309112548828,0.025968046858906746,0.9144264459609985,0.8592891693115234,0.9498171210289001,0.014380623098476653,0.174416446685791,0.17150949300130203,2.0485840578551914e-06,85140.0,133.45703387260437,30331
0.06,3,1.7044624090194702,0.29103660583496094,1.6799792051315308,1.3270132541656494,2.2464475631713867,0.1611706800739463,1.1225258111953735,0.19131623208522797,1.108016014099121,0.8823463916778564,1.5057872533798218,0.10594739254695718,0.8976962566375732,0.025511447340250015,0.894767165184021,0.8477590084075928,0.9390213489532471,0.01412776705208374,0.16899860699971517,0.16621047973632813,1.9849495771636734e-06,85140.0,133.45703387260437,30331
0.07,3,1.7912068367004395,0.24610063433647156,1.8466894626617432,1.420655608177185,2.1097967624664307,0.13628597132847675,1.1991761922836304,0.1824491173028946,1.2068580389022827,0.9597311615943909,1.5063233375549316,0.1010369511770215,0.8875572085380554,0.02227611653506756,0.8846505284309387,0.8373409509658813,0.9188072085380554,0.012336102978454444,0.37934854825337727,0.37563613484700514,4.4555854857103285e-06,85140.0,133.45703387260437,30331
0.08,3,1.8660004138946533,0.33559465408325195,1.7947032451629639,1.3740336894989014,2.5889158248901367,0.18584609998946577,1.2395440340042114,0.1969776749610901,1.2040928602218628,0.95628821849823,1.6429730653762817,0.10908259419048294,0.8787569403648376,0.02524094469845295,0.8808239102363586,0.841689944267273,0.9342744946479797,0.013977968416242992,0.17338881492614747,0.17036871744791668,2.0365141522920773e-06,85140.0,133.45703387260437,30331
0.09,3,1.984526515007019,0.24898691475391388,1.9878358840942383,1.5560235977172852,2.4110755920410156,0.13788434545437633,1.3508902788162231,0.16871632635593414,1.3206976652145386,1.0528854131698608,1.6162911653518677,0.09343198603357061,0.8595643639564514,0.034814052283763885,0.856019139289856,0.8119548559188843,0.9196761846542358,0.019279379162090104,0.1835683822631836,0.17997044982910154,2.156076841240117e-06,85140.0,133.45703387260437,30331
0.1,3,2.096210241317749,0.428750604391098,2.061117649078369,1.511659026145935,2.9772818088531494,0.23743415863173167,1.4280048608779907,0.30899152159690857,1.4174023866653442,1.0297507047653198,2.0842909812927246,0.17111379311543495,0.8486216068267822,0.030644798651337624,0.8394744396209717,0.7980226278305054,0.8950945734977722,0.016970524429387845,0.18048256238301594,0.17734998881022135,2.119832774054686e-06,85140.0,133.45703387260437,30331
