probability,positional_encoding,scale_factor,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.05,learnable,5,3.0084822177887,1.2371518611908,2.85974907875061,1.22219669818878,5.87781858444214,0.311572671599895,2.12015557289124,0.925285577774048,1.8534688949585,0.677892446517944,4.31121349334717,0.233030154616491,0.50701630115509,0.269405990839005,0.55156421661377,-0.477009654045105,0.888893127441406,0.0678490223669465,0.199604246351454,0.196036813887339,2.20240810274141e-06,90630.0,25.6307169217912,5294918
0.05,sinusoidal,5,3.29960536956787,1.51515650749207,3.27676105499268,1.16861116886139,6.93704652786255,0.381587216080749,2.36841464042664,1.16528463363647,2.18357849121094,0.790417611598969,5.47135257720947,0.293473109375007,0.394627720117569,0.385514169931412,0.489146411418915,-1.22121262550354,0.908025026321411,0.0970904852113283,0.191976997587416,0.188711579337953,2.11825000096454e-06,90630.0,25.2893121469589,3661301
0.05,rope,5,3.83139395713806,1.82191407680511,3.44017100334168,1.39229583740234,7.92984294891357,0.458843128417993,2.80260825157166,1.39160561561584,2.42072200775147,0.839475631713867,6.15486288070679,0.350471302208413,0.232897266745567,0.43566882610321,0.315237879753113,-1.20701313018799,0.802700936794281,0.109721780351179,0.239235215716892,0.235755099584186,2.6396912249464e-06,90630.0,27.1322394968971,8225864
0.1,learnable,5,3.89762783050537,1.69437336921692,3.7030553817749,1.66814708709717,8.74034881591797,0.426722409782696,2.93963861465454,1.42594361305237,2.46982049942017,1.00789642333984,7.21853971481323,0.359119212053567,0.200054630637169,0.407825738191605,0.269395291805267,-1.08201956748962,0.850427329540253,0.102709571307899,0.202606863445706,0.199079579186818,2.23553860140909e-06,90630.0,25.6307169217912,5294918
0.1,sinusoidal,5,4.18178033828735,1.957723736763,4.04946327209473,1.45204961299896,8.74237155914307,0.493046345360374,3.17442607879639,1.64486861228943,3.0411274433136,0.900551557540894,7.12312126159668,0.414254764403249,0.0548163056373596,0.539676368236542,0.161705493927002,-1.68246603012085,0.844559848308563,0.135915713212989,0.194634422423348,0.191244651431129,2.1475716917505e-06,90630.0,25.2893121469589,3661301
0.1,rope,5,4.81899785995483,2.15291690826416,4.85343551635742,1.67001259326935,9.1430835723877,0.542205077228699,3.79754781723022,1.81685829162598,3.85260534286499,1.20042085647583,7.57232809066773,0.457569793878904,-0.182402655482292,0.568465888500214,-0.0669451951980591,-1.79687356948853,0.661423325538635,0.143166300144887,0.241904179255168,0.238425228058346,2.66914023232007e-06,90630.0,27.1322394968971,8225864
0.15,learnable,5,4.4771294593811,1.95941197872162,4.08942842483521,1.81209325790405,9.30702590942383,0.493471524952657,3.4622118473053,1.69473576545715,3.05956101417542,1.1663898229599,8.24986362457275,0.426813706927879,-0.0406466126441956,0.518619477748871,0.0429540872573853,-1.65334796905518,0.802198827266693,0.13061262991869,0.204078780280219,0.200415498037187,2.25177954628952e-06,90630.0,25.6307169217912,5294918
0.15,sinusoidal,5,4.73864269256592,2.14023470878601,4.6334023475647,1.68955731391907,9.01668453216553,0.539011136710119,3.69916439056397,1.85194754600525,3.56988048553467,1.10063350200653,7.6926589012146,0.466406970301708,-0.18163825571537,0.589771568775177,-0.0674517154693604,-1.80435156822205,0.820691406726837,0.148532040386948,0.195512502912491,0.192235446506076,2.15726032122356e-06,90630.0,25.2893121469589,3661301
0.15,rope,5,5.48086547851563,2.43590521812439,5.65793418884277,1.86700332164764,9.90442371368408,0.613474756393597,4.44714593887329,2.13360691070557,4.70683765411377,1.3401780128479,8.63453578948975,0.537341932983597,-0.495961159467697,0.621012210845947,-0.438480734825134,-2.01892566680908,0.569571256637573,0.156399918146974,0.205192459954156,0.201696638077024,2.26406774748048e-06,90630.0,27.1322394968971,8225864
0.2,learnable,5,4.91315412521362,2.14508199691772,5.06025409698486,1.96909654140472,10.2869815826416,0.540231926986857,3.84218263626099,1.88077759742737,3.59955763816834,1.373291015625,9.20552444458008,0.473667669919019,-0.251449972391129,0.6014404296875,-0.155920505523682,-2.10309743881226,0.851323008537293,0.151470810597464,0.203529206533281,0.199912517244854,2.24571561881585e-06,90630.0,25.6307169217912,5294918
