probability,positional_encoding,scale_factor,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.0,learnable,3,0.7441904544830322,0.1119566261768341,0.7236605882644653,0.6169558167457581,1.0176076889038086,0.06199951077119248,0.5829839706420898,0.09201306849718094,0.5720779895782471,0.4823375344276428,0.8391308188438416,0.05095513850711819,0.978607714176178,0.010734258219599724,0.9769824147224426,0.950789213180542,0.991580605506897,0.005944433677242844,0.34039489428202313,0.3374579559326172,3.998060773808118e-06,85140.0,24.204639593760174,816203
0.0,sinusoidal,3,0.7288742661476135,0.13833843171596527,0.6924627423286438,0.5953593254089355,1.0713285207748413,0.0766092597555309,0.5741173028945923,0.11647139489650726,0.5542988777160645,0.45285722613334656,0.8903443813323975,0.06449970690182683,0.979137659072876,0.011877487413585186,0.9796445965766907,0.9465130567550659,0.992525577545166,0.006577533586334172,0.24325310389200847,0.24037881164550778,2.857095418040973e-06,85140.0,30.303321472803752,921495
0.0,rope,3,0.7197110652923584,0.11036776006221771,0.6751987934112549,0.5575742125511169,0.9486933350563049,0.06111962118755454,0.5611136555671692,0.08527699112892151,0.5470003485679626,0.42705562710762024,0.7406581044197083,0.04722482119125704,0.9798020124435425,0.010674062184989452,0.9789596796035767,0.9531046152114868,0.9915196895599365,0.005911098594412634,0.2551957925160726,0.2518892608642578,2.9973666022559616e-06,85140.0,30.151392920811972,1162332
0.01,learnable,3,1.0609101057052612,0.4012397229671478,0.9340175986289978,0.7513914108276367,2.128680467605591,0.22219913989228202,0.7916040420532227,0.3110940754413605,0.6898180246353149,0.5856274366378784,1.6451953649520874,0.17227815299215998,0.9583622217178345,0.02508573606610298,0.9621565937995911,0.8895163536071777,0.9882268905639648,0.013892016496406923,0.24750070571899413,0.24441741434733072,2.9069850331101025e-06,85140.0,24.204639593760174,816203
0.01,sinusoidal,3,0.953840970993042,0.20033502578735352,0.9499377608299255,0.7006475925445557,1.5781981945037842,0.11094184827311637,0.700303852558136,0.16775566339492798,0.6959481239318848,0.516905665397644,1.2338303327560425,0.09289999099025725,0.9655100107192993,0.01676434837281704,0.9681146144866943,0.92556232213974,0.9897633790969849,0.009283786111541237,0.2418620268503825,0.23881788330078121,2.8407567165889417e-06,85140.0,30.303321472803752,921495
0.01,rope,3,0.980926513671875,0.30743294954299927,0.8739663362503052,0.6675876975059509,1.9091413021087646,0.17025068642815921,0.7201279401779175,0.19632023572921753,0.6663421988487244,0.5036945343017578,1.3257317543029785,0.10871851600027416,0.9645644426345825,0.019961880519986153,0.9683214426040649,0.9111303687095642,0.9880526065826416,0.011054520503180232,0.34506902694702146,0.34182876993815103,4.0529601473692915e-06,85140.0,30.151392920811972,1162332
0.02,learnable,3,1.2380539178848267,0.3838873505592346,1.0999150276184082,0.8655847311019897,2.2884843349456787,0.2125897192495878,0.913202166557312,0.28829413652420044,0.8005046844482422,0.6238052248954773,1.7446277141571045,0.1596519657798634,0.9443916082382202,0.027904072776436806,0.9506132006645203,0.8723052740097046,0.9792492985725403,0.015452759940972616,0.23623539606730143,0.23352133585611978,2.7746699091766672e-06,85140.0,24.204639593760174,816203
0.02,sinusoidal,3,1.1127856969833374,0.29640206694602966,1.0659366846084595,0.7845473289489746,2.0138421058654785,0.16414198381074674,0.8121706247329712,0.256319135427475,0.7446241974830627,0.5725393891334534,1.607627511024475,0.14194480762988193,0.9531059861183167,0.023804428055882454,0.9532861709594727,0.9011155366897583,0.9871649742126465,0.013182452736715589,0.2366637388865153,0.23374661763509116,2.7797009500412883e-06,85140.0,30.303321472803752,921495
0.02,rope,3,1.2124532461166382,0.3820951581001282,1.0358139276504517,0.8808041214942932,2.1347463130950928,0.21159723924267593,0.8953425884246826,0.27036523818969727,0.7820795774459839,0.6550906300544739,1.5025604963302612,0.1497232666136601,0.9478570222854614,0.023275822401046753,0.95308518409729,0.900386393070221,0.980893075466156,0.012889720832184426,0.3504573027292887,0.34697767740885416,4.116247389350349e-06,85140.0,30.151392920811972,1162332
0.03,learnable,3,1.4451581239700317,0.6800366044044495,1.22346031665802,0.9396600723266602,3.5631954669952393,0.37659170310315426,1.0816617012023926,0.5644140243530273,0.8877642154693604,0.6788307428359985,2.8853538036346436,0.31256207310355144,0.9209297299385071,0.06900859624147415,0.9391267895698547,0.6904317140579224,0.9778829216957092,0.03821568572051559,0.24467244148254394,0.24174140625,2.873766049830208e-06,85140.0,24.204639593760174,816203
