probability,positional_encoding,scale_factor,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.0,learnable,3,0.7073538303375244,0.10110433399677277,0.6685038208961487,0.5806137323379517,0.9360681176185608,0.05598971178749523,0.5569531321525574,0.07879959791898727,0.5355709791183472,0.45442435145378113,0.7438666224479675,0.043637759738440196,0.9805097579956055,0.009951049461960793,0.9796048998832703,0.955596923828125,0.9921090602874756,0.005510707066377907,0.20389237403869628,0.19986290588378902,2.394789453120699e-06,85140.0,341.7211420536041,83102
0.0,sinusoidal,3,0.6995705366134644,0.08589084446430206,0.6550551652908325,0.5667514801025391,0.8473772406578064,0.047564761733329464,0.5487588047981262,0.06445521116256714,0.5160656571388245,0.4448093771934509,0.6796665191650391,0.03569410448056776,0.9806655645370483,0.0106667410582304,0.9815130829811096,0.9517555832862854,0.993302047252655,0.005907044691988661,0.18485407829284667,0.18201486511230466,2.171177804708089e-06,85140.0,243.5404291152954,30399
0.0,rope,3,0.719637930393219,0.07958730310201645,0.6892917156219482,0.595048189163208,0.8580802083015442,0.04407397921465395,0.5623350143432617,0.058185942471027374,0.5412912368774414,0.4617430567741394,0.673770546913147,0.03222229810036403,0.9799219369888306,0.009914212860167027,0.9794665575027466,0.954924464225769,0.9912319779396057,0.005490307717520682,0.20020205179850262,0.1968612538655599,2.351445287743747e-06,85140.0,406.45828914642334,25559
0.01,learnable,3,1.0124701261520386,0.07110084593296051,0.9965695738792419,0.9091716408729553,1.1552088260650635,0.03937433677579305,0.6854954957962036,0.0611259751021862,0.6973661184310913,0.5957417488098145,0.7908962965011597,0.03385043879631677,0.9610898494720459,0.018261507153511047,0.9613388180732727,0.9079769849777222,0.9788413643836975,0.010112884562443192,0.19015347162882487,0.1866627909342448,2.2334210903080207e-06,85140.0,341.7211420536041,83102
0.01,sinusoidal,3,1.1129127740859985,0.14884233474731445,1.0638434886932373,0.941904604434967,1.532224416732788,0.08242612933812943,0.7698586583137512,0.11504920572042465,0.7552556395530701,0.6534978747367859,1.076027512550354,0.06371212524566883,0.9539055228233337,0.02111101523041725,0.9574281573295593,0.8903142809867859,0.9734451174736023,0.01169089030055337,0.17995495796203614,0.1772352305094401,2.11363586988532e-06,85140.0,243.5404291152954,30399
0.01,rope,3,0.9014736413955688,0.08366243541240692,0.8908830285072327,0.7664644718170166,1.0260403156280518,0.046330709491206434,0.6384778618812561,0.0591902956366539,0.6298911571502686,0.559764564037323,0.7454178333282471,0.032778492713949614,0.969591498374939,0.01203354261815548,0.9707496762275696,0.9405527710914612,0.985880970954895,0.006663952918423144,0.2000887393951416,0.19670676472981766,2.3501143927077937e-06,85140.0,406.45828914642334,25559
0.02,learnable,3,1.2309116125106812,0.15610723197460175,1.194604754447937,0.9699902534484863,1.5172775983810425,0.08644930240279391,0.7905919551849365,0.12756405770778656,0.7442215085029602,0.6127142310142517,0.9913154244422913,0.07064261850318332,0.9453778862953186,0.017767421901226044,0.9440910816192627,0.8969339728355408,0.9630822539329529,0.009839269619306257,0.19734134674072265,0.19389971516927085,2.31784527531974e-06,85140.0,341.7211420536041,83102
0.02,sinusoidal,3,1.3242096900939941,0.1835816353559494,1.2799649238586426,1.0614651441574097,1.6702295541763306,0.10166411455100355,0.9191272258758545,0.15255245566368103,0.9038693308830261,0.6643614768981934,1.2141350507736206,0.08448072978265664,0.9348477721214294,0.030057553201913834,0.9421252608299255,0.842669665813446,0.9649473428726196,0.016645316361978413,0.1884695529937744,0.1856125223795573,2.2136428587476443e-06,85140.0,243.5404291152954,30399
0.02,rope,3,1.0816043615341187,0.08983857929706573,1.0557440519332886,0.9789687991142273,1.2965129613876343,0.04975094471950858,0.7283932566642761,0.052638694643974304,0.7073649764060974,0.6657533049583435,0.8515647053718567,0.029150336935156007,0.9552404880523682,0.01915612258017063,0.9551683664321899,0.9140092134475708,0.9803910255432129,0.010608305595712464,0.40204017957051597,0.39771824951171875,4.7221068777368555e-06,85140.0,406.45828914642334,25559
0.03,learnable,3,1.4060990810394287,0.1739259511232376,1.3791176080703735,1.1687525510787964,1.82754385471344,0.09631698229762486,0.8925296068191528,0.14923717081546783,0.8647530674934387,0.7096130847930908,1.2173563241958618,0.08264478239304296,0.9283471703529358,0.02240096591413021,0.9288545846939087,0.8786669373512268,0.9671598672866821,0.012405241040860382,0.206044340133667,0.20191597493489585,2.4200650708675943e-06,85140.0,341.7211420536041,83102
0.03,sinusoidal,3,1.5829200744628906,0.2450796216726303,1.545353651046753,1.2437721490859985,2.090627670288086,0.13572057029149986,1.0941698551177979,0.21138659119606018,1.0870193243026733,0.8383075594902039,1.5967164039611816,0.1170619925032832,0.9095659255981445,0.031237829476594925,0.9136486649513245,0.8288444876670837,0.9543473124504089,0.017298933471734168,0.19733537038167318,0.1939368194580078,2.3177750808277328e-06,85140.0,243.5404291152954,30399
0.03,rope,3,1.209892988204956,0.13410621881484985,1.1905285120010376,1.0493742227554321,1.5346304178237915,0.07426554286022347,0.7934824228286743,0.09469294548034668,0.7840873599052429,0.6919800043106079,1.0298186540603638,0.05243920436983984,0.9443512558937073,0.02385593019425869,0.9412164688110352,0.8898274898529053,0.9770374894142151,0.013210972874094562,0.21067285537719727,0.20665110371907552,2.4744286513647792e-06,85140.0,406.45828914642334,25559
0.04,learnable,3,1.579322338104248,0.215064138174057,1.5693726539611816,1.2565680742263794,1.9898033142089844,0.11909853565393824,0.9915592670440674,0.19161733984947205,0.9667883515357971,0.7253114581108093,1.3909547328948975,0.10611415085687081,0.9110971689224243,0.024525150656700134,0.9156275987625122,0.8620133996009827,0.9425531029701233,0.013581573862216811,0.2181881109873454,0.21341382751464844,2.5626980383761495e-06,85140.0,341.7211420536041,83102
0.04,sinusoidal,3,1.7009791135787964,0.19294564425945282,1.7152020931243896,1.4044991731643677,2.030649423599243,0.10684972990366304,1.1863278150558472,0.1871786117553711,1.2302563190460205,0.8967393636703491,1.4550944566726685,0.10365605778378506,0.89598149061203,0.029659520834684372,0.8956504464149475,0.8208611011505127,0.9435468912124634,0.01642489453121032,0.19275617599487305,0.18971972656249997,2.2639907915770852e-06,85140.0,243.5404291152954,30399
