noise_level,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
0.0,learnable,0.7441904544830322,0.1119566261768341,0.7236605882644653,0.6169558167457581,1.0176076889038086,0.06199951077119248,0.5829839706420898,0.09201306849718094,0.5720779895782471,0.4823375344276428,0.8391308188438416,0.05095513850711819,0.978607714176178,0.010734258219599724,0.9769824147224426,0.950789213180542,0.991580605506897,0.005944433677242844,0.2668321132659912,0.26315319925944014,3.1340393853181964e-06,85140.0,24.204639593760174,816203
0.0,sinusoidal,0.7288742661476135,0.13833843171596527,0.6924627423286438,0.5953593254089355,1.0713285207748413,0.0766092597555309,0.5741173028945923,0.11647139489650726,0.5542988777160645,0.45285722613334656,0.8903443813323975,0.06449970690182683,0.979137659072876,0.011877487413585186,0.9796445965766907,0.9465130567550659,0.992525577545166,0.006577533586334172,0.28316896756490073,0.27911014709472654,3.3259216298437945e-06,85140.0,30.303321472803752,921495
0.0,rope,0.7197110652923584,0.11036776006221771,0.6751987934112549,0.5575742125511169,0.9486933350563049,0.06111962118755454,0.5611136555671692,0.08527699112892151,0.5470003485679626,0.42705562710762024,0.7406581044197083,0.04722482119125704,0.9798020124435425,0.010674062184989452,0.9789596796035767,0.9531046152114868,0.9915196895599365,0.005911098594412634,0.2839474360148112,0.2801723205566406,3.335065022490148e-06,85140.0,30.151392920811972,1162332
0.05,learnable,0.7492989301681519,0.11274133622646332,0.7342818379402161,0.6180259585380554,1.0318922996520996,0.0624340683371738,0.5868633389472961,0.09305357933044434,0.5792471170425415,0.4806021749973297,0.8487303853034973,0.05153135394553576,0.9783364534378052,0.010751496069133282,0.9765492081642151,0.9506842494010925,0.9914818406105042,0.005953980173010409,0.26700159708658855,0.2634892211914063,3.1360300339040236e-06,85140.0,24.204639593760174,816203
0.05,sinusoidal,0.7340404391288757,0.13756859302520752,0.7065682411193848,0.6009654402732849,1.081748604774475,0.07618294782108781,0.5785529017448425,0.11616664379835129,0.5651382803916931,0.45930951833724976,0.8982435464859009,0.06433094311369969,0.9789140820503235,0.011850793845951557,0.9794953465461731,0.9462165832519531,0.9924688935279846,0.006562750675092488,0.2775855541229248,0.27381337076822915,3.2603424256862203e-06,85140.0,30.303321472803752,921495
0.05,rope,0.7251912355422974,0.11166746914386749,0.6845430135726929,0.5566927194595337,0.9660763144493103,0.06183938012732593,0.565865695476532,0.08615030348300934,0.5483179092407227,0.42734161019325256,0.7515994310379028,0.047708445058861626,0.9795371294021606,0.010716648772358894,0.9783093333244324,0.9525638818740845,0.9915465116500854,0.005934681939556596,0.28165844281514485,0.2775765523274739,3.3081799719890167e-06,85140.0,30.151392920811972,1162332
0.1,learnable,0.7657874226570129,0.11630918085575104,0.7590304017066956,0.6368721127510071,1.0715818405151367,0.06440987585978941,0.6011950373649597,0.09750983864068985,0.5866037607192993,0.4983135461807251,0.8857966065406799,0.05399914682161322,0.977523922920227,0.010979284532368183,0.9760395884513855,0.9486729502677917,0.9913725256919861,0.006080125052245977,0.3774163564046224,0.37380064493815107,4.432891195731999e-06,85140.0,24.204639593760174,816203
0.1,sinusoidal,0.7439287900924683,0.13943420350551605,0.7008867263793945,0.5971195697784424,1.0986363887786865,0.07721608869902419,0.5860636830329895,0.11672942340373993,0.5653036236763,0.4648197293281555,0.9073138236999512,0.06464259522703131,0.9783744812011719,0.01192524004727602,0.9787606596946716,0.9463859796524048,0.9921569228172302,0.006603977834038766,0.2636247158050537,0.26024652608235677,3.096367345607866e-06,85140.0,30.303321472803752,921495
0.1,rope,0.7363482713699341,0.10934494435787201,0.7002267241477966,0.564164400100708,0.9602693915367126,0.060553209421517984,0.574690580368042,0.08427347242832184,0.5520527362823486,0.4326281249523163,0.7511535286903381,0.04666909199243596,0.9789842963218689,0.010809074155986309,0.9783459901809692,0.9515894651412964,0.9913180470466614,0.005985865578735816,0.28316359519958495,0.27878421223958333,3.32585852947598e-06,85140.0,30.151392920811972,1162332
0.15,learnable,0.7962539792060852,0.12814323604106903,0.7964906096458435,0.6492130160331726,1.1434595584869385,0.07096335918809882,0.6252473592758179,0.10845232754945755,0.6117004752159119,0.5132986307144165,0.9538388252258301,0.06005889499674488,0.9758130311965942,0.011592704802751541,0.9750896692276001,0.9460208415985107,0.9909750819206238,0.006419826395099304,0.26477120717366537,0.2611114888509115,3.1098333001370143e-06,85140.0,24.204639593760174,816203
0.15,sinusoidal,0.7527753114700317,0.12638826668262482,0.6976927518844604,0.618510365486145,1.0741384029388428,0.06999148527007903,0.5944487452507019,0.10625293850898743,0.5575087070465088,0.47810232639312744,0.8892602920532227,0.05884091055018681,0.9778549075126648,0.012012571096420288,0.9761444330215454,0.9448983073234558,0.9915867447853088,0.006652340520422517,0.26398205757141113,0.260552587890625,3.1005644535049457e-06,85140.0,30.303321472803752,921495
0.15,rope,0.7603322267532349,0.10272012650966644,0.7317677140235901,0.593174159526825,0.9683268666267395,0.05688450662853073,0.5923335552215576,0.08024574816226959,0.5778395533561707,0.4556676149368286,0.7585402131080627,0.04443861270659888,0.9776838421821594,0.011116845533251762,0.9771376252174377,0.9490187168121338,0.9908677935600281,0.006156303761396975,0.2783844470977783,0.27448112792968754,3.2697257117427573e-06,85140.0,30.151392920811972,1162332
0.2,learnable,0.8149302005767822,0.1242825835943222,0.7892225980758667,0.6663402915000916,1.1414064168930054,0.06882539956349731,0.6362000703811646,0.10246928781270981,0.6251946687698364,0.515964150428772,0.9316478371620178,0.05674559729994044,0.9746981263160706,0.011918867938220501,0.9725077748298645,0.9432352781295776,0.9896507859230042,0.00660044877165511,0.26964282989501953,0.2662391632080078,3.167052265621559e-06,85140.0,24.204639593760174,816203
0.2,sinusoidal,0.781193196773529,0.1436900645494461,0.7457653284072876,0.6118000149726868,1.1824723482131958,0.07957290112736537,0.6195131540298462,0.1217406615614891,0.6048448085784912,0.4769984781742096,0.9832478165626526,0.06741772963677495,0.9762723445892334,0.012554368935525417,0.9748152494430542,0.9426512122154236,0.9920046925544739,0.006952377738893123,0.27239104906717937,0.2686290802001953,3.1993310907585078e-06,85140.0,30.303321472803752,921495
0.2,rope,0.7811701893806458,0.12474891543388367,0.7671263217926025,0.5767059922218323,1.0531456470489502,0.06908365082568091,0.6141127943992615,0.10051310807466507,0.587966799736023,0.445733904838562,0.8613030314445496,0.05566229949179058,0.9765836596488953,0.011427069082856178,0.9756391048431396,0.9494065046310425,0.9909277558326721,0.006328099736703008,0.2813646634419759,0.27766276041666665,3.304729427319425e-06,85140.0,30.151392920811972,1162332
0.25,learnable,0.8641809821128845,0.159639373421669,0.8313824534416199,0.6827905178070068,1.3265446424484253,0.08840533878661017,0.6794126629829407,0.13028371334075928,0.6495831608772278,0.5377570986747742,1.0693323612213135,0.07214870867146184,0.971710205078125,0.013096633367240429,0.9710605144500732,0.9397757053375244,0.9902784824371338,0.007252673632093587,0.2623687744140625,0.25885264587402346,3.0816158611001003e-06,85140.0,24.204639593760174,816203
0.25,sinusoidal,0.7998683452606201,0.13971967995166779,0.7478315830230713,0.6614914536476135,1.1551806926727295,0.07737417790988876,0.6317979693412781,0.11513704806566238,0.6048319935798645,0.5130016207695007,0.9588749408721924,0.0637607720747575,0.9748467803001404,0.014018206857144833,0.9738427996635437,0.935405433177948,0.9909989833831787,0.007763023393247415,0.39518343607584633,0.39176543375651035,4.641571952969771e-06,85140.0,30.303321472803752,921495
0.25,rope,0.8045443892478943,0.11435209959745407,0.7783271670341492,0.6496685147285461,1.0505506992340088,0.06332608267455109,0.6291792988777161,0.09002368152141571,0.6158691644668579,0.4992990791797638,0.8409278392791748,0.04985345182204515,0.975150465965271,0.012368324212729931,0.9748160243034363,0.941927433013916,0.9893428087234497,0.006849348792548615,0.2868735154469808,0.28290469868977863,3.3694328805142207e-06,85140.0,30.151392920811972,1162332
0.3,learnable,0.9085056185722351,0.18613959848880768,0.8861592411994934,0.7063479423522949,1.465614914894104,0.10308066930550708,0.7187182903289795,0.1526675969362259,0.7072442173957825,0.5557764768600464,1.19772207736969,0.08454448960792194,0.9688145518302917,0.014727186411619186,0.9695553779602051,0.9348108172416687,0.9882616400718689,0.008155643693205983,0.2744671980539958,0.2706597198486328,3.2237162092318045e-06,85140.0,24.204639593760174,816203
0.3,sinusoidal,0.835567831993103,0.13974665105342865,0.8157731890678406,0.6606267094612122,1.2262277603149414,0.07738911113212199,0.65944504737854,0.11291538178920746,0.6460650563240051,0.5239295959472656,0.9903190732002258,0.06253045114070455,0.9733511805534363,0.0132463863119483,0.9734162092208862,0.9364323019981384,0.9900162816047668,0.007335603352191966,0.2720848401387533,0.26837963968912765,3.195734556480541e-06,85140.0,30.303321472803752,921495
0.3,rope,0.8548984527587891,0.12828023731708527,0.8854961395263672,0.6682655811309814,1.1919602155685425,0.07103922379222094,0.6733828186988831,0.10835659503936768,0.6823639273643494,0.514234185218811,0.9767735004425049,0.06000588165831944,0.9723224639892578,0.013064474798738956,0.9734272360801697,0.9356799721717834,0.9887619614601135,0.007234865025509851,0.27542516390482585,0.27145038859049475,3.2349678635755914e-06,85140.0,30.151392920811972,1162332
0.35,learnable,0.9704698920249939,0.21172836422920227,0.9331992864608765,0.7528745532035828,1.6459847688674927,0.11725125851091289,0.7644481062889099,0.18095949292182922,0.7342503070831299,0.5953760147094727,1.3546161651611328,0.10021202048537448,0.9647262096405029,0.01651638187468052,0.9657235145568848,0.9294244050979614,0.9866104125976562,0.009146466783606089,0.27438670794169107,0.2706625559488932,3.2227708238394537e-06,85140.0,24.204639593760174,816203
