future_step,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
1,0.8724646847399454,0.22224050795329794,0.8500387072563171,0.4001956284046173,1.623511791229248,0.05642011697701366,0.6755420461533561,0.16292250577038328,0.661486029624939,0.3063696622848511,1.1469069719314575,0.04136107732297323,0.9496028735524132,0.030992308820095817,0.9595471024513245,0.8333390951156616,0.9893880486488342,0.007868006175476339,0.09230583433120973,0.08884140935019844,1.3094883576565426e-05,7049.0,76.80606066234527,205672
2,1.0607345061642783,0.27314783748745647,1.0138428211212158,0.49214157462120056,1.7096837759017944,0.06934394222271623,0.8191768602719383,0.2041725607689341,0.7786410450935364,0.37986063957214355,1.2536989450454712,0.05183321379242167,0.9280708905250307,0.037178578435814374,0.9345498085021973,0.7836835384368896,0.9875602722167969,0.009438512194313908,0.09230583433120973,0.08884140935019844,1.3094883576565426e-05,7049.0,76.80606066234527,205672
3,1.1948592814188155,0.32871229605552,1.1187772750854492,0.5432044863700867,1.931501030921936,0.08345007112354352,0.9271660451851194,0.2506390876053207,0.8669806718826294,0.4229372441768646,1.480657696723938,0.06362965407132615,0.9113722935555473,0.040899408269525185,0.9147740602493286,0.7611078023910522,0.9791181683540344,0.010383117911799244,0.09230583433120973,0.08884140935019844,1.3094883576565426e-05,7049.0,76.80606066234527,205672
4,1.280041966173384,0.36873067153885547,1.1943641901016235,0.576279878616333,2.129395008087158,0.09360952156213931,0.9951017002264658,0.2859461267130017,0.9104180932044983,0.44322195649147034,1.6569457054138184,0.0725930392566495,0.9003309493973142,0.04271864184461739,0.8989964723587036,0.7505787014961243,0.9716084003448486,0.010844966078276563,0.09230583433120973,0.08884140935019844,1.3094883576565426e-05,7049.0,76.80606066234527,205672
5,1.330276456144121,0.39592720867186304,1.2421000003814697,0.5913235545158386,2.253154754638672,0.10051389655905218,1.0363737278514438,0.3078546722631137,0.9366779327392578,0.45285171270370483,1.7641195058822632,0.07815495375242332,0.8940115977847387,0.04323022255910263,0.8928112983703613,0.7490524053573608,0.9682350754737854,0.010974840888320236,0.09230583433120973,0.08884140935019844,1.3094883576565426e-05,7049.0,76.80606066234527,205672
6,1.3623805661050101,0.41335815093078293,1.275097370147705,0.6016212701797485,2.32387375831604,0.1049390835347519,1.0653691769592346,0.3245604170880224,0.962288498878479,0.4608300030231476,1.8384780883789062,0.08239603511913596,0.8900682661268446,0.0432670098529244,0.8882357478141785,0.7508773803710938,0.9656656384468079,0.010984180065231719,0.09230583433120973,0.08884140935019844,1.3094883576565426e-05,7049.0,76.80606066234527,205672
7,1.3855717021321494,0.4242351454017012,1.30849289894104,0.610047459602356,2.368298292160034,0.10770042216765541,1.0849529149986448,0.33317773881684265,0.9781621098518372,0.46911945939064026,1.8765970468521118,0.08458371145431953,0.8872061598868597,0.04322585217769338,0.8831522464752197,0.7518037557601929,0.9637871384620667,0.010973731381180296,0.09230583433120973,0.08884140935019844,1.3094883576565426e-05,7049.0,76.80606066234527,205672
