future_step,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
1,learnable,0.941814031392809,0.23491003344949252,0.9053272604942322,0.47849658131599426,1.6872893571853638,0.0596365248097781,0.7317142576452286,0.1720353830751959,0.7127216458320618,0.37369316816329956,1.1505156755447388,0.043674560172115795,0.9419067691242884,0.034004045788181184,0.95160311460495,0.8037848472595215,0.9826673269271851,0.008632594744897082,0.19441108098105778,0.19144579036652096,2.7579951905384843e-05,7049.0,25.309677362442017,2647909
2,learnable,1.0926813577848768,0.29095436587734197,1.0402451753616333,0.5404344201087952,1.7739626169204712,0.073864479112971,0.8507489519459861,0.22217374808454787,0.8031955361366272,0.42075422406196594,1.3760795593261719,0.05640316867339901,0.9247794860885257,0.03659019139694668,0.9308123588562012,0.7905867099761963,0.9797557592391968,0.009289138590615864,0.19441108098105778,0.19144579036652096,2.7579951905384843e-05,7049.0,25.309677362442017,2647909
3,learnable,1.204438929519956,0.34259868066483595,1.1454472541809082,0.5766189694404602,1.9769834280014038,0.08697540253706815,0.9416135847568512,0.26732797111413875,0.8577877879142761,0.4493246376514435,1.5685938596725464,0.0678664548618515,0.9109369563677955,0.03926197689447257,0.9090390205383301,0.7759581804275513,0.9762048721313477,0.009967423803766917,0.19441108098105778,0.19144579036652096,2.7579951905384843e-05,7049.0,25.309677362442017,2647909
4,learnable,1.2767480630723258,0.3775406179313409,1.179821491241455,0.596074640750885,2.0928096771240234,0.09584609945067468,1.0006314374151684,0.2992001871655489,0.8919207453727722,0.4656454920768738,1.665609359741211,0.07595784276632433,0.9016875671961951,0.04078027929140904,0.8971349596977234,0.7650339007377625,0.9728367924690247,0.010352874681424318,0.19441108098105778,0.19144579036652096,2.7579951905384843e-05,7049.0,25.309677362442017,2647909
5,learnable,1.3226163737357608,0.3992274637076729,1.2156354188919067,0.6053920984268188,2.165006399154663,0.10135173110545947,1.036387446380797,0.31635926585959606,0.9291929006576538,0.47234463691711426,1.7280174493789673,0.0803140118376231,0.8960373146193368,0.04121623660533047,0.8914682269096375,0.7584154605865479,0.9681341648101807,0.010463551006253513,0.19441108098105778,0.19144579036652096,2.7579951905384843e-05,7049.0,25.309677362442017,2647909
6,learnable,1.3548917259488786,0.4177032709058099,1.2355741262435913,0.611199676990509,2.229522705078125,0.10604217756350431,1.0619773287621757,0.33071102142974534,0.9609806537628174,0.4768558740615845,1.7876243591308594,0.08395748680782744,0.892395091435266,0.04092675895981518,0.8876287937164307,0.7541165351867676,0.9641843438148499,0.010390061421602037,0.19441108098105778,0.19144579036652096,2.7579951905384843e-05,7049.0,25.309677362442017,2647909
7,learnable,1.383575833979107,0.4300628421686147,1.2763973474502563,0.6212449669837952,2.276568651199341,0.10917989742769629,1.0825833105851734,0.3395957194216857,0.9903924465179443,0.4833177626132965,1.8217144012451172,0.08621304185774692,0.8888433954072377,0.04090420092206228,0.8850159049034119,0.7507947087287903,0.9617215394973755,0.01038433462075683,0.19441108098105778,0.19144579036652096,2.7579951905384843e-05,7049.0,25.309677362442017,2647909
1,sinusoidal,0.8980216639382499,0.22408646766798862,0.8593902587890625,0.4602745771408081,1.651116967201233,0.05688875009883665,0.6962136347142477,0.1614432093681432,0.6748347878456116,0.3525959253311157,1.1563912630081177,0.04098552888301199,0.9471814055291433,0.030882242957706866,0.957360029220581,0.8215484619140625,0.9842376708984375,0.00784006379499691,0.19022062846592494,0.18735977996341766,2.6985477155046804e-05,7049.0,22.972760510823083,3522976
2,sinusoidal,1.071770309455811,0.2869985563500769,1.006098985671997,0.5173330307006836,1.7234796285629272,0.07286021918609054,0.8309256060728951,0.218246426745093,0.7803475260734558,0.39211902022361755,1.2927037477493286,0.05540614103240338,0.9275507472810292,0.03500423372559139,0.9336037039756775,0.8059468269348145,0.9812278747558594,0.00888651209303215,0.19022062846592494,0.18735977996341766,2.6985477155046804e-05,7049.0,22.972760510823083,3522976
3,sinusoidal,1.1954317064512343,0.3402916276992172,1.1252082586288452,0.5524976253509521,1.9192156791687012,0.08638971183922406,0.9306464280400958,0.265261107825862,0.8549968600273132,0.41892164945602417,1.507820963859558,0.06734174103009316,0.9122051104666695,0.03845930871616352,0.9127724170684814,0.7859246134757996,0.9788196086883545,0.009763650725083006,0.19022062846592494,0.18735977996341766,2.6985477155046804e-05,7049.0,22.972760510823083,3522976
