future_step,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
1,0.8529668649037679,0.11131004948764904,0.8337513208389282,0.7246097922325134,1.1009063720703125,0.06380496333426255,0.6575876037279765,0.06856040895777883,0.6582077741622925,0.5512641072273254,0.7821155190467834,0.03930008476205482,0.9724768757820129,0.010161678594735947,0.9731707572937012,0.9469960331916809,0.9853262305259705,0.005824860676426402,0.17086987495422362,0.16796649576822914,2.5803363780462642e-05,6622.0,142.23385214805603,28017
2,1.0796492616335551,0.10989012465927948,1.0833725929260254,0.8977054953575134,1.2623882293701172,0.06299103636155401,0.8299351056416829,0.07524018484708239,0.8032935857772827,0.7103235721588135,0.9762825965881348,0.043129054901407726,0.9557040413220723,0.014755027705903414,0.9524201154708862,0.926361083984375,0.9818071722984314,0.008457852692587808,0.17086987495422362,0.16796649576822914,2.5803363780462642e-05,6622.0,142.23385214805603,28017
3,1.2462284247080484,0.13095067738584085,1.2292418479919434,1.0218900442123413,1.4911069869995117,0.0750633317266427,0.9598913868268331,0.09795229435275593,0.9406341910362244,0.8096106648445129,1.174230933189392,0.056148052924708924,0.9407502134641011,0.019551743766816152,0.9354257583618164,0.9126691222190857,0.9770517945289612,0.01120741837690964,0.17086987495422362,0.16796649576822914,2.5803363780462642e-05,6622.0,142.23385214805603,28017
4,1.353766957918803,0.1471597986164993,1.3466887474060059,1.1028512716293335,1.642465591430664,0.08435469751583446,1.0471952080726623,0.11734508471540782,1.0366753339767456,0.8765074014663696,1.3113758563995361,0.0672643562929447,0.9301336288452149,0.02274068138662475,0.9243124723434448,0.9012327194213867,0.9724082946777344,0.013035375949866368,0.17086987495422362,0.16796649576822914,2.5803363780462642e-05,6622.0,142.23385214805603,28017
5,1.428243867556254,0.15739986266655187,1.428026556968689,1.1383498907089233,1.7358137369155884,0.09022449017392331,1.105507739384969,0.12579047495693538,1.096695899963379,0.909259557723999,1.3888170719146729,0.07210540898481321,0.9225721716880798,0.02435586835743073,0.9162575602531433,0.89162278175354,0.967843234539032,0.013961230766431632,0.17086987495422362,0.16796649576822914,2.5803363780462642e-05,6622.0,142.23385214805603,28017
6,1.4876419623692831,0.16527690458558533,1.4926241636276245,1.1538171768188477,1.804834008216858,0.09473975517595834,1.1527431925137839,0.13281707730681194,1.1455122232437134,0.9238970279693604,1.452397346496582,0.07613318641696742,0.9164094448089599,0.025383651343334118,0.9098200798034668,0.8835453987121582,0.9631390571594238,0.014550374837726143,0.17086987495422362,0.16796649576822914,2.5803363780462642e-05,6622.0,142.23385214805603,28017
7,1.5411839326222738,0.1721053856343785,1.5502721071243286,1.1722383499145508,1.8577826023101807,0.09865396584204289,1.1942755421002706,0.1350574668621373,1.1927368640899658,0.9432165026664734,1.4931527376174927,0.07741741882985353,0.9106805284818014,0.02609653886144143,0.9038757085800171,0.876193106174469,0.9585641026496887,0.014959015047335766,0.17086987495422362,0.16796649576822914,2.5803363780462642e-05,6622.0,142.23385214805603,28017
