future_step,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
1,0.8783926924069723,0.14753065875856294,0.845382571220398,0.6841750741004944,1.1940268278121948,0.0845672813559768,0.6884643356005351,0.11416528449844976,0.6884279251098633,0.5041572451591492,0.9627370238304138,0.0654416364470084,0.9695889075597127,0.014776345710110543,0.969819962978363,0.930931568145752,0.990685760974884,0.008470072563866782,0.2329287052154541,0.23007202657063805,3.517497813582816e-05,6622.0,23.42403744061788,1066133
2,1.0920780301094055,0.1418071687487059,1.0516984462738037,0.8060699105262756,1.3150416612625122,0.08128647183425008,0.8561781207720439,0.11492937552085601,0.8236876130104065,0.6045824885368347,1.0481911897659302,0.0658796274450636,0.9534757852554321,0.018667605722273665,0.9516873955726624,0.9155741930007935,0.9870539903640747,0.010700614222440952,0.2329287052154541,0.23007202657063805,3.517497813582816e-05,6622.0,23.42403744061788,1066133
3,1.250059978167216,0.15160244662142647,1.2231470346450806,0.9491994380950928,1.544887900352478,0.08690130489195336,0.9814744472503663,0.12552132593867252,0.965651273727417,0.716816246509552,1.2341318130493164,0.07195112782762436,0.9391969879468282,0.022976741235591656,0.9339362382888794,0.9024574756622314,0.9820247292518616,0.013170689787901257,0.2329287052154541,0.23007202657063805,3.517497813582816e-05,6622.0,23.42403744061788,1066133
4,1.3575175921122233,0.15989045133227123,1.3431168794631958,1.0794578790664673,1.6903380155563354,0.09165214130900412,1.069218921661377,0.1350503419708177,1.0657744407653809,0.8181082606315613,1.3542306423187256,0.0774133347113799,0.9286116321881612,0.025949824644018005,0.9202172160148621,0.888680100440979,0.9767207503318787,0.014874915765137886,0.2329287052154541,0.23007202657063805,3.517497813582816e-05,6622.0,23.42403744061788,1066133
5,1.43357941309611,0.164543714291845,1.4360157251358032,1.1630665063858032,1.7822080850601196,0.09431947704272181,1.1331366101900737,0.1375442388511559,1.1310431957244873,0.9094424247741699,1.4311033487319946,0.07884288217579893,0.9208703517913819,0.027603062295032253,0.912110447883606,0.8798292279243469,0.9716033935546875,0.015822581929974988,0.2329287052154541,0.23007202657063805,3.517497813582816e-05,6622.0,23.42403744061788,1066133
6,1.491262642542521,0.16792463000117666,1.5032267570495605,1.1771031618118286,1.8501956462860107,0.09625747998013034,1.1809156815210977,0.14054375259675467,1.1909027099609375,0.948800802230835,1.4923571348190308,0.08056225850740129,0.9149300734202067,0.02851022811018851,0.9055280685424805,0.8734083771705627,0.966693639755249,0.016342586025207773,0.2329287052154541,0.23007202657063805,3.517497813582816e-05,6622.0,23.42403744061788,1066133
7,1.5425917545954386,0.17032475629880037,1.5734858512878418,1.1916505098342896,1.8994321823120117,0.09763327642548592,1.220230718453725,0.13893799493575976,1.2354366779327393,0.9619929194450378,1.5306763648986816,0.07964180874428384,0.9095347642898559,0.02902426538804879,0.8997361063957214,0.8670397996902466,0.961811363697052,0.01663724162744029,0.2329287052154541,0.23007202657063805,3.517497813582816e-05,6622.0,23.42403744061788,1066133
