future_step,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,RMSE_CI95,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,MAE_CI95,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,NSE_CI95,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
1,learnable,0.9794992766683064,0.24025648018355303,0.9596269726753235,0.4891786575317383,1.7340103387832642,0.060993825298897075,0.7673426095455412,0.1844251254445136,0.7367976903915405,0.36846187710762024,1.289202332496643,0.04681993956415209,0.9389837280152336,0.03258130426860309,0.9486730694770813,0.8028972744941711,0.9786834716796875,0.008271403872441407,0.1954077993120466,0.19266585770864333,2.7721350448580875e-05,7049.0,1725.197336435318,12654
2,learnable,1.1100806101920113,0.28797077409616895,1.0469341278076172,0.540723979473114,1.77998685836792,0.0731070357519219,0.8679089607700469,0.22354572543345722,0.8116360902786255,0.4088875949382782,1.3375135660171509,0.0567514720642982,0.923245526495434,0.036152086820492334,0.9277862310409546,0.7786684632301331,0.976665735244751,0.009177917141027891,0.1954077993120466,0.19266585770864333,2.7721350448580875e-05,7049.0,1725.197336435318,12654
3,learnable,1.2100140859210302,0.3328921366485736,1.1311038732528687,0.5766001343727112,1.916799783706665,0.08451120573566806,0.9488318463166555,0.2618231853680648,0.8737539649009705,0.43936190009117126,1.504091501235962,0.06646895690530352,0.910484925148979,0.03876608401661428,0.9104768633842468,0.7654479146003723,0.9737061262130737,0.009841531659105729,0.1954077993120466,0.19266585770864333,2.7721350448580875e-05,7049.0,1725.197336435318,12654
4,learnable,1.2755220106669836,0.36385932471582116,1.1871618032455444,0.594628095626831,2.072925329208374,0.0923728345147492,1.0013782722609383,0.2884548462178838,0.9140653014183044,0.4546840786933899,1.6327401399612427,0.07322992696551722,0.9019526829795231,0.03997877196616329,0.8995519876480103,0.7613507509231567,0.9729829430580139,0.010149396308085645,0.1954077993120466,0.19266585770864333,2.7721350448580875e-05,7049.0,1725.197336435318,12654
5,learnable,1.3173206694542416,0.38351958574736444,1.2297921180725098,0.6026780009269714,2.164038896560669,0.09736397783697104,1.0347150758145347,0.30445609367911336,0.9538171887397766,0.46110692620277405,1.7176507711410522,0.07729215784257426,0.896526417088887,0.04058262212180221,0.8933289051055908,0.7615820169448853,0.9715877175331116,0.010302695527618089,0.1954077993120466,0.19266585770864333,2.7721350448580875e-05,7049.0,1725.197336435318,12654
6,learnable,1.345392640620943,0.39776156136449886,1.2683066129684448,0.6125521659851074,2.2209854125976562,0.100979583010405,1.057709872249573,0.31749131511188183,0.9725996255874634,0.46623924374580383,1.7825841903686523,0.08060140476983846,0.8929995676827809,0.040681609429635904,0.8889451026916504,0.7646075487136841,0.97012859582901,0.010327825399479185,0.1954077993120466,0.19266585770864333,2.7721350448580875e-05,7049.0,1725.197336435318,12654
7,learnable,1.3696487564889213,0.4089632758334115,1.2954257726669312,0.6184947490692139,2.2651679515838623,0.10382335819117428,1.0759104442974878,0.32553329817087845,0.9879014492034912,0.47131264209747314,1.8158565759658813,0.08264302008603042,0.8899104434346395,0.040797911001648514,0.8865457773208618,0.7660757303237915,0.9685078263282776,0.010357350837294277,0.1954077993120466,0.19266585770864333,2.7721350448580875e-05,7049.0,1725.197336435318,12654
1,sinusoidal,0.9474396119042049,0.2357615921148254,0.9094559550285339,0.5333475470542908,1.6780095100402832,0.059852709698632656,0.7446151692715902,0.1788218764868006,0.7117552161216736,0.407310426235199,1.2314579486846924,0.04539744478785357,0.9421383937199911,0.031061497984369423,0.9523975253105164,0.8556054830551147,0.9822286367416382,0.00788557120346245,0.18729066091870505,0.18455011737157426,2.6569819962931628e-05,7049.0,1466.7223358154297,15539
2,sinusoidal,1.0957198587674943,0.28002879673410846,1.0516068935394287,0.5792490243911743,1.74612295627594,0.0710908088456621,0.8550331819625128,0.21472204918693813,0.808491051197052,0.43774211406707764,1.3788666725158691,0.05451140858270953,0.9243228378750029,0.03591649724108311,0.9315391778945923,0.8341080546379089,0.9815822839736938,0.00911810810013236,0.18729066091870505,0.18455011737157426,2.6569819962931628e-05,7049.0,1466.7223358154297,15539
3,sinusoidal,1.2055098064362058,0.3258885889484162,1.1312812566757202,0.6105245351791382,1.925553321838379,0.08273321762658736,0.9401213966664814,0.25181783511833905,0.8771068453788757,0.46393075585365295,1.5347472429275513,0.06392890227402037,0.9102635818814474,0.0394374004598215,0.9154860973358154,0.8107002377510071,0.9743298292160034,0.010011958520541375,0.18729066091870505,0.18455011737157426,2.6569819962931628e-05,7049.0,1466.7223358154297,15539
4,sinusoidal,1.2747997745635018,0.35903132586976055,1.1879985332489014,0.6308011412620544,2.0722296237945557,0.09114715220251823,0.9965017319671692,0.281478675356377,0.9203698039054871,0.47815725207328796,1.6423841714859009,0.07145888900451447,0.9011868380364918,0.04116532902573849,0.9019685983657837,0.7956877946853638,0.97237229347229,0.010450627117525646,0.18729066091870505,0.18455011737157426,2.6569819962931628e-05,7049.0,1466.7223358154297,15539
5,sinusoidal,1.3191677899587722,0.3826108699057172,1.234744668006897,0.6402366757392883,2.1691477298736572,0.0971332824765403,1.0322472495692117,0.3005240520309869,0.9437777400016785,0.48214927315711975,1.7248644828796387,0.07629393185853184,0.8955721949774121,0.041873494709338495,0.8957951068878174,0.7854125499725342,0.9700339436531067,0.010630408882226328,0.18729066091870505,0.18455011737157426,2.6569819962931628e-05,7049.0,1466.7223358154297,15539
6,sinusoidal,1.3482428656684027,0.3995169008562307,1.2698172330856323,0.6458638310432434,2.2313883304595947,0.10142521040916286,1.0568158342724754,0.3158639056028571,0.9704022407531738,0.4846627116203308,1.783714771270752,0.08018825490929204,0.8921072511445909,0.04195943946773877,0.89220130443573,0.777971625328064,0.9674907922744751,0.010652227646803403,0.18729066091870505,0.18455011737157426,2.6569819962931628e-05,7049.0,1466.7223358154297,15539
7,sinusoidal,1.37048858309549,0.41229096747315774,1.3025825023651123,0.649328887462616,2.2789859771728516,0.10466815805825047,1.0740665599467263,0.32535012397634366,0.9971931576728821,0.48703572154045105,1.8076813220977783,0.08259651771984178,0.8895518732449365,0.041694342881182594,0.8875991106033325,0.7734658718109131,0.9651302099227905,0.010584927672728228,0.18729066091870505,0.18455011737157426,2.6569819962931628e-05,7049.0,1466.7223358154297,15539
1,rope,0.9146797042044382,0.224680326934869,0.8981239199638367,0.5181379914283752,1.6721351146697998,0.05703951293507137,0.714126537716578,0.16604051393237856,0.6874656081199646,0.39999470114707947,1.1284953355789185,0.04215264492176585,0.9456869732765925,0.029411332604023878,0.9542005658149719,0.8635382056236267,0.9836062788963318,0.0074666443181348185,0.19607482637677873,0.1933431091308594,2.781597763892449e-05,7049.0,1321.9706270694733,40129
2,rope,1.0808774611306569,0.2871918523951971,1.006055474281311,0.5832980871200562,1.7391386032104492,0.07290929118280842,0.8429945764087495,0.220788578867606,0.7903037071228027,0.4515056014060974,1.3776066303253174,0.056051516267757284,0.9263477647115314,0.03484552625586062,0.9308513402938843,0.8322640657424927,0.9829245805740356,0.008846221085376582,0.19607482637677873,0.1933431091308594,2.781597763892449e-05,7049.0,1321.9706270694733,40129
3,rope,1.1996575575026254,0.33915850755217425,1.0996453762054443,0.6258524656295776,1.9578676223754883,0.0861020470393461,0.9385458689833445,0.2650987300050061,0.8591039776802063,0.4850424826145172,1.5636924505233765,0.06730051823173155,0.9115241538910639,0.038368213596722184,0.9140545725822449,0.8091757297515869,0.97739577293396,0.009740524440220444,0.19607482637677873,0.1933431091308594,2.781597763892449e-05,7049.0,1321.9706270694733,40129
