window_len,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size
1,learnable,1.736389,0.705345,1.653131,0.6895133,2.8406742,1.3809359,0.55559844,1.3082061,0.55333585,2.2495675,0.83020335,0.06552385,0.8183297,0.6964021,0.934606,0.4439056004796709,0.4385307889665876,0.0002028819014989,2188.0,429.7387225627899,34765
1,sinusoidal,1.7391437,0.7106643,1.6730008,0.6542149,2.837081,1.3693874,0.5544502,1.3204805,0.52830505,2.230392,0.83112144,0.06330865,0.8232757,0.7231889,0.9253123,0.5177481855664935,0.5136657780238559,0.0002366307977909,2188.0,820.445154428482,36469
1,rope,1.7016999,0.712488,1.5928369,0.5880962,2.7829442,1.3319999,0.5529379,1.2211195,0.46780542,2.1876204,0.83639765,0.06862305,0.81998265,0.7208535,0.9314844,0.4655074647494724,0.46182946232387,0.0002127547827922,2188.0,1093.5621161460876,28914
3,learnable,1.5015237,0.6102165,1.3283223,0.6255391,2.5029917,1.200228,0.48384732,1.0556226,0.4872047,1.9854537,0.8682317,0.060027745,0.86303437,0.72405094,0.9637726,0.4605458804539272,0.4548310416085379,7.048452409763195e-05,6534.0,429.7387225627899,34765
5,learnable,1.4179248,0.5450244,1.2702546,0.61399084,2.3080237,1.1376077,0.43394953,1.0225399,0.47674158,1.8385576,0.88013405,0.055656057,0.88886034,0.72860765,0.967346,0.4820637702941894,0.4786070807320731,4.447082751791416e-05,10840.0,429.7387225627899,34765
7,learnable,1.321513,0.50054425,1.1481228,0.5962851,2.1282425,1.0600772,0.4006591,0.9313663,0.46280295,1.6947268,0.89411974,0.051992346,0.9058863,0.7481212,0.9710176,0.4571621928896223,0.4533359135219028,3.0263616635086872e-05,15106.0,429.7387225627899,34765
15,learnable,1.1197394,0.3663763,1.0400801,0.57404286,1.6987091,0.8886274,0.28735277,0.8028319,0.44651195,1.318341,0.9198265,0.04337872,0.9328923,0.7835422,0.9753403,0.4428894434656416,0.438396614074707,1.3940492397407663e-05,31770.0,429.7387225627899,34765
30,learnable,0.908397,0.23643146,0.8891485,0.50088036,1.4798449,0.71550685,0.18006669,0.699962,0.39598086,1.1371807,0.94331896,0.03624622,0.9510661,0.82649976,0.9793254,0.4024253232138498,0.3985464205060686,6.565921409917599e-06,61290.0,429.7387225627899,34765
60,learnable,0.8078398,0.18396471,0.7725265,0.4750571,1.3812569,0.6233061,0.1356769,0.6032431,0.37315893,1.0453081,0.9527419,0.033351142,0.95803744,0.8522872,0.98316586,0.3731734326907566,0.3687011642456054,3.285555843376973e-06,113580.0,429.7387225627899,34765
90,learnable,0.7840115,0.1810531,0.7739006,0.46515083,1.3574936,0.6020388,0.13103174,0.602337,0.3678394,1.0148714,0.9546305,0.03404573,0.96033585,0.8478421,0.9850897,0.3658383658954075,0.3610521076747349,2.3321117224160618e-06,156870.0,429.7387225627899,34765
3,sinusoidal,1.5079526901245115,0.60854572057724,1.3342502117156982,0.6143409609794617,2.484602928161621,1.195044755935669,0.4766013324260711,1.0753246545791626,0.498813658952713,1.95684826374054,0.8672807812690735,0.0593875981867313,0.8682578802108765,0.7438756227493286,0.9567261934280396,0.397296028477805,0.3947783072335379,6.080441207190159e-05,6534.0,820.445154428482,36469
3,rope,1.4567043781280518,0.6043595671653748,1.2517101764678955,0.5519986748695374,2.4268171787261963,1.1540310382843018,0.4771598577499389,0.989107608795166,0.4438619315624237,1.9305839538574217,0.8741275668144226,0.0628108382225036,0.873512864112854,0.7304062843322754,0.9632367491722108,0.5301520228385925,0.526345001220703,8.113743845096306e-05,6534.0,1093.5621161460876,28914
5,sinusoidal,1.411717414855957,0.5486085414886475,1.2590088844299316,0.6076865792274475,2.290804624557495,1.1220656633377075,0.4313491880893707,1.0128412246704102,0.4938986003398895,1.8102154731750488,0.8810868263244629,0.055794458836317,0.8911280035972595,0.7486581206321716,0.9629095196723938,0.4823260818208967,0.4784787063598633,4.449502599823771e-05,10840.0,820.445154428482,36469
5,rope,1.3503752946853638,0.5387786030769348,1.1561471223831177,0.5476252436637878,2.227189064025879,1.0746923685073853,0.429648607969284,0.903468370437622,0.4425137341022491,1.781617522239685,0.8889518976211548,0.0588877648115158,0.9021751880645752,0.7325361967086792,0.9692221879959106,0.531136121068682,0.5271823861258371,4.899779714655738e-05,10840.0,1093.5621161460876,28914
