window_len,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size,positional_encoding
1,1.6288317441940308,0.6590953469276428,1.5290447473526,0.5615890622138977,3.114058256149292,1.286544680595398,0.5390916466712952,1.1835500001907349,0.4074403345584869,2.5214974880218506,0.8593297004699707,0.0656162127852439,0.8800563216209412,0.7134390473365784,0.9401059746742249,0.2251797100854298,0.2222843424479166,0.0002054559398589,1096.0,25.6307169217912,5294918,learnable
1,1.6244186162948608,0.6638733148574829,1.5081599950790403,0.5743553638458252,3.020549774169922,1.2864134311676023,0.5482363104820251,1.1715437173843384,0.422795832157135,2.428642749786377,0.8596371412277222,0.0671755373477935,0.8808693885803223,0.7215388417243958,0.940847396850586,0.2210978326343354,0.2186583334302145,0.0002017315991189,1096.0,25.28931214695885,3661301,sinusoidal
1,1.681679129600525,0.671474277973175,1.5461928844451904,0.6026145815849304,3.234719038009644,1.313105821609497,0.5339681506156921,1.2073850631713867,0.4391639232635498,2.5739047527313232,0.8481804132461548,0.0713102594017982,0.8722700476646423,0.698434591293335,0.9405702948570251,0.2259831163618299,0.2229947446792844,0.0002061889747826,1096.0,27.13223949689714,8225864,rope
3,1.3837697505950928,0.5832029581069946,1.20595383644104,0.522351861000061,2.7802796363830566,1.1037349700927734,0.4853072762489319,0.9650650024414062,0.3865249752998352,2.250006675720215,0.8935821056365967,0.0579911097884178,0.8997916579246521,0.7525120377540588,0.9702879786491394,0.2269515120793902,0.2240802912636408,6.915036931120969e-05,3282.0,25.6307169217912,5294918,learnable
3,1.3863409757614136,0.5949809551239014,1.199642777442932,0.5169504284858704,2.7435553073883057,1.1114243268966677,0.5005207061767578,0.9646430611610411,0.3819954097270965,2.232785940170288,0.8929816484451294,0.0600331127643585,0.9028412699699402,0.7505455017089844,0.96938294172287,0.2267164502825056,0.2236249338785807,6.907874780088532e-05,3282.0,25.28931214695885,3661301,sinusoidal
3,1.3991199731826782,0.5838175415992737,1.2011573314666748,0.529654324054718,2.845322608947754,1.0968997478485107,0.4670950770378113,0.9695907831192015,0.392697125673294,2.2719874382019043,0.8902409672737122,0.0599488615989685,0.8973612785339355,0.7583268284797668,0.9708685874938964,0.2402875688340928,0.2365855400448754,7.32137625941782e-05,3282.0,27.13223949689714,8225864,rope
5,1.2893433570861816,0.5284547209739685,1.1382919549942017,0.5079346895217896,2.501792907714844,1.0299060344696045,0.4429661631584167,0.8956796526908875,0.3768835365772247,2.047736883163452,0.9057605862617492,0.052492931485176,0.908787727355957,0.7739982008934021,0.974347710609436,0.2348040512629917,0.2313515581403459,4.300440499322194e-05,5460.0,25.6307169217912,5294918,learnable
5,1.2882287502288818,0.5403658151626587,1.1246802806854248,0.5101580023765564,2.481462955474853,1.0332427024841309,0.4568633139133453,0.8850492238998413,0.3803452849388122,2.0344386100769043,0.9056116342544556,0.0545547790825367,0.9079421162605286,0.76790452003479,0.974650740623474,0.2484048661731538,0.245090104602632,4.549539673500986e-05,5460.0,25.28931214695885,3661301,sinusoidal
5,1.2859270572662354,0.5256851315498352,1.121011734008789,0.50614333152771,2.545410633087158,1.0114678144454956,0.4250842034816742,0.8766037225723267,0.3750592470169067,2.034261465072632,0.9054231643676758,0.0535095930099487,0.9117649793624878,0.7789866924285889,0.9761536121368408,0.2553225888146294,0.2513074309333921,4.676237890377829e-05,5460.0,27.13223949689714,8225864,rope
7,1.2236942052841189,0.4887039959430694,1.0745543241500854,0.4921026527881622,2.2964746952056885,0.9776151180267334,0.4122035205364227,0.8433765769004822,0.3660015761852264,1.890069365501404,0.9142228960990906,0.0482991300523281,0.9184033274650574,0.7891558408737183,0.9766948223114014,0.2216899811275421,0.2185483715723431,2.905504339810513e-05,7630.0,25.6307169217912,5294918,learnable
7,1.2211625576019287,0.5012685656547546,1.042619228363037,0.4992287456989288,2.286989688873291,0.9799580574035645,0.4263690710067749,0.817996084690094,0.3702289164066314,1.907265305519104,0.9139429926872252,0.0506434962153434,0.9205591678619384,0.7819438576698303,0.9777438044548036,0.2120098764934237,0.2095381486680772,2.7786353406739675e-05,7630.0,25.28931214695885,3661301,sinusoidal
7,1.213792324066162,0.4826921820640564,1.0642375946044922,0.4896019697189331,2.32059907913208,0.9568371772766112,0.3932853639125824,0.8282597661018372,0.3635607063770294,1.8492610454559328,0.9147717356681824,0.0488601922988891,0.9209689497947692,0.7958257794380188,0.9784811735153198,0.2203903236086406,0.2172123531765407,2.888470820558856e-05,7630.0,27.13223949689714,8225864,rope
15,1.05578351020813,0.3770590424537658,0.9445083737373352,0.4521720111370086,1.9644033908844,0.8395344614982605,0.3152110874652862,0.738277018070221,0.3380804657936096,1.5090582370758057,0.9339815974235536,0.0382211618125438,0.94214928150177,0.8342894315719604,0.9815533757209778,0.2126910080985417,0.2097477741544208,1.3104806413958208e-05,16230.0,25.6307169217912,5294918,learnable
15,1.0525344610214231,0.394221544265747,0.937455117702484,0.4515308141708374,1.9873884916305544,0.8389732241630554,0.3324736058712005,0.7182586789131165,0.3382013142108917,1.57440984249115,0.9342967867851256,0.0394741557538509,0.9408549070358276,0.8309041261672974,0.9812929034233092,0.2120035905686635,0.2092008807469928,1.306245166781661e-05,16230.0,25.28931214695885,3661301,sinusoidal
15,1.035001277923584,0.3691209554672241,0.9169548153877258,0.4523836970329284,1.9117075204849243,0.8182304501533508,0.3053257763385772,0.704375684261322,0.3368445038795471,1.505076885223389,0.9360291361808776,0.0384000726044178,0.9433441162109376,0.8236902952194214,0.98109233379364,0.2197436378115699,0.2162127457876054,1.3539349218211332e-05,16230.0,27.13223949689714,8225864,rope
