window_len,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size,extra__forcast_time_steps
60,learnable,0.9581859,0.29358226,0.91120386,0.41761026,1.702518,0.72869015,0.21166952,0.703266,0.31585503,1.2426124,0.9448029,0.030244043,0.9536367,0.8549503,0.9800672,0.11531743927607457,0.11300692894345235,1.8533821805862201e-06,62220.0,159.84433306209618,20966,0
60,sinusoidal,0.9494535,0.3029655,0.9060483,0.42520866,1.7669545,0.7255349,0.22310081,0.69763803,0.31799814,1.3016529,0.9457549,0.0308943,0.9562221,0.86129653,0.9812329,0.06826695184859023,0.06594460720486113,1.0971866256604023e-06,62220.0,68.66885916013567,22391,0
60,rope,0.96225995,0.31357828,0.88862574,0.44135845,1.7962166,0.72960055,0.22828096,0.67536265,0.3339112,1.2983893,0.9440222,0.032249466,0.95261306,0.84520435,0.98190624,0.0754517184363471,0.07179685949900794,1.2126602127346053e-06,62220.0,100.87821974830027,51882,0
90,learnable,0.90838856,0.259959,0.8831765,0.40476954,1.6376575,0.6890053,0.18248853,0.6857752,0.30697578,1.162148,0.9496256,0.02808072,0.960287,0.8669562,0.9833428,0.06704250593034045,0.06425123620411707,7.39738562620992e-07,90630.0,159.84433306209618,20966,0
90,sinusoidal,0.8961308,0.27289218,0.87378776,0.4114353,1.7197527,0.6842292,0.19833907,0.6665811,0.30738047,1.2523533,0.9508899,0.028903317,0.961752,0.86665213,0.98503083,0.06923337966676738,0.06657016524057541,7.639123873636484e-07,90630.0,68.66885916013567,22391,0
90,rope,0.91148376,0.28437817,0.84959114,0.42657518,1.7431623,0.69138795,0.20391424,0.6529958,0.32431236,1.2397836,0.9490387,0.030056024,0.9597897,0.85931873,0.98379517,0.12485629414755198,0.12225368923611116,1.3776486168768836e-06,90630.0,100.87821974830027,51882,0
120,learnable,1.4440302,0.36321124,1.5155696,0.61743206,2.0814838,1.0088415,0.25067002,1.0274805,0.43725672,1.4689097,0.8832023,0.037865393,0.8940674,0.7783424,0.93990564,0.06693203487093488,0.06415414186507938,5.708976021062337e-07,117240.0,159.84433306209618,20966,0
120,sinusoidal,1.0552258,0.33555743,1.0336572,0.4666514,1.8892428,0.77902174,0.237113,0.7589015,0.34518242,1.3961357,0.9380451,0.026339743,0.9466813,0.85993624,0.97225803,0.07527150426592144,0.07246884300595242,6.420292073176518e-07,117240.0,68.66885916013567,22391,0
120,rope,0.8955716,0.2706548,0.8476227,0.41992122,1.7211965,0.68027127,0.19400981,0.66304374,0.33314672,1.2173243,0.95075065,0.029117905,0.9626141,0.866558,0.98593706,0.08355192911057244,0.08078036644345238,7.126571913218394e-07,117240.0,100.87821974830027,51882,0
150,learnable,2.043665,0.5904315,2.146114,0.84071696,2.9330413,1.4002746,0.39386284,1.4938071,0.5884176,2.0227585,0.77928805,0.04296893,0.78789645,0.6739607,0.88897425,0.06868822234017512,0.06572996496775796,4.835496116872586e-07,142050.0,159.84433306209618,20966,0
150,sinusoidal,1.6864307,0.625205,1.7386575,0.6719246,3.2645497,1.1418018,0.3922499,1.1333601,0.46244505,2.0715976,0.85582644,0.038123235,0.86925185,0.74107563,0.9138365,0.07905770105028916,0.07609368799603178,5.565484058450481e-07,142050.0,68.66885916013567,22391,0
150,rope,0.99329257,0.31204176,0.9548348,0.45252204,1.9576557,0.7402192,0.2169205,0.7244743,0.35453314,1.374476,0.9422264,0.029661734,0.9505636,0.85666466,0.98523307,0.1328087723444379,0.1298331860739087,9.349438391019908e-07,142050.0,100.87821974830027,51882,0
