window_len,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size,extra__forcast_time_steps
1,learnable,1.636574,0.6933738,1.536605,0.59060067,2.7409322,1.3067067,0.56030524,1.2072139,0.47358817,2.213654,0.8494979,0.06339516,0.84520936,0.74017787,0.93671817,0.18100319589887345,0.1768478131975446,8.272540946017982e-05,2188.0,289.25425546509877,181109,0
1,sinusoidal,1.677576,0.7190503,1.6015625,0.6039055,2.779851,1.3108108,0.5540484,1.2385254,0.48553,2.1692827,0.8437597,0.064485185,0.8493444,0.7349208,0.92822903,0.1794968162264142,0.17570021275111608,8.203693611810522e-05,2188.0,286.51476821729113,271875,0
1,rope,1.696612,0.7137287,1.5708189,0.6066246,2.8070266,1.3231415,0.5438937,1.2087129,0.49163806,2.1854942,0.8387903,0.06645777,0.8366199,0.7286645,0.93400395,0.22954699822834557,0.22578901018415182,0.00010491179078077951,2188.0,331.09293062346325,109462,0
3,learnable,1.5234184,0.6423684,1.3724352,0.5716223,2.567495,1.2188021,0.5237464,1.0717933,0.45784324,2.0812986,0.86655456,0.060999185,0.85987437,0.7457452,0.95065856,0.17595263038362777,0.17168715122767858,2.692877722430789e-05,6534.0,289.25425546509877,181109,0
3,sinusoidal,1.5538417,0.6598279,1.3975525,0.5923581,2.5940833,1.2141399,0.5085496,1.0857198,0.47957304,2.0335588,0.86246496,0.061717637,0.85996354,0.7419839,0.94659686,0.18314020974295472,0.1793004847935268,2.802880467446508e-05,6534.0,286.51476821729113,271875,0
3,rope,1.5747772,0.65691537,1.3950881,0.5954341,2.6207674,1.230944,0.50264364,1.0729573,0.4847453,2.0522668,0.857959,0.06287297,0.86480117,0.7355044,0.95032465,0.2367602331297738,0.23303982979910717,3.6235113732747756e-05,6534.0,331.09293062346325,109462,0
5,learnable,1.4568205,0.605108,1.2934356,0.56585675,2.4455957,1.1669295,0.4951975,1.0112394,0.45357877,1.9871416,0.87618107,0.058461465,0.8760453,0.75008905,0.95679504,0.15927609375544957,0.15511390904017855,1.4693366582606047e-05,10840.0,289.25425546509877,181109,0
5,sinusoidal,1.4834483,0.6174509,1.3193443,0.58710575,2.465942,1.1595861,0.4759711,1.025202,0.47585112,1.9372693,0.87255734,0.0591916,0.8708914,0.74213696,0.9532072,0.16777511153902328,0.1636578020368304,1.5477408813563034e-05,10840.0,286.51476821729113,271875,0
5,rope,1.5065643,0.6167617,1.3185754,0.59600013,2.4894576,1.1807654,0.47364426,1.0421512,0.48586187,1.9555438,0.86822605,0.059784807,0.8756706,0.7382966,0.95695525,0.23331268344606673,0.2293640311104911,2.1523310281002464e-05,10840.0,331.09293062346325,109462,0
7,learnable,1.4083688,0.5772434,1.2361727,0.5622384,2.3503473,1.1284744,0.47365174,0.9664177,0.4512682,1.9137704,0.8829721,0.056606926,0.88805974,0.7534416,0.96080655,0.1750075731958661,0.17055583844866073,1.1585302078370595e-05,15106.0,289.25425546509877,181109,0
