window_len,positional_encoding,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size,extra__forcast_time_steps
60,learnable,1.0291054,0.21527565,0.9587159,0.78637594,1.4523289,0.77123755,0.13706958,0.7011715,0.61039114,1.0734537,0.96314085,0.011409514,0.96640825,0.93245184,0.97450155,0.08530418078104657,0.08053712565104167,1.4566970761790737e-06,58560.0,63.42935929298402,68590,0
60,sinusoidal,0.979042,0.22526044,0.90768,0.74488896,1.4492817,0.7263447,0.14570606,0.66528034,0.57898015,1.0812387,0.966674,0.011142881,0.97062343,0.93945205,0.9777599,0.09513829549153649,0.08926991373697918,1.62462936290192e-06,58560.0,74.92423815727236,138586,0
60,rope,1.0447474,0.24685004,1.0015342,0.7831674,1.5330318,0.7747907,0.16188367,0.72564995,0.60748243,1.132262,0.9618047,0.01440425,0.9659711,0.9222631,0.9764543,0.09905740420023597,0.09620331217447918,1.691554033473976e-06,58560.0,334.8686970551808,144696,0
90,learnable,0.9568115,0.17079055,0.89951545,0.740108,1.2984052,0.71705365,0.105414614,0.6727368,0.57515293,0.94938326,0.96755123,0.010663406,0.97017354,0.937217,0.9780957,0.09109905560811364,0.08770065917968746,1.0699912568488794e-06,85140.0,63.42935929298402,68590,0
90,sinusoidal,0.9030463,0.18133299,0.8545457,0.7007372,1.30168,0.66919285,0.11586412,0.6151669,0.54724145,0.9667742,0.9710688,0.010374764,0.9756096,0.9432103,0.9802311,0.11172990798950197,0.10858064778645835,1.3123080571940563e-06,85140.0,74.92423815727236,138586,0
90,rope,0.9661307,0.20104545,0.9157328,0.73969185,1.3846431,0.7177016,0.13085176,0.6500362,0.5751203,1.02559,0.9667006,0.0133222155,0.9715732,0.92766994,0.9791955,0.11237832705179845,0.10938929850260416,1.3199239728893412e-06,85140.0,334.8686970551808,144696,0
120,learnable,1.2120384,0.2521187,1.1529163,0.89931035,1.6690687,0.8823249,0.15007748,0.8508509,0.68297774,1.1147563,0.94941425,0.008710592,0.9516287,0.93007386,0.9593699,0.10081861813863122,0.09724816894531246,9.171999466760477e-07,109920.0,63.42935929298402,68590,0
120,sinusoidal,1.2310216,0.2098969,1.2118307,0.86722136,1.5992428,0.8746157,0.12970547,0.85470545,0.6581707,1.103553,0.9472249,0.008760163,0.945766,0.928156,0.9612628,0.1228837490081787,0.11960835774739585,1.1179380368284088e-06,109920.0,74.92423815727236,138586,0
120,rope,0.9224266,0.17911732,0.8589863,0.7141499,1.2993541,0.6872375,0.1169431,0.6297394,0.5558783,0.96017224,0.9691082,0.012725819,0.9731358,0.93106574,0.9804638,0.12904299100240071,0.12595466308593745,1.173971897765654e-06,109920.0,334.8686970551808,144696,0
150,learnable,1.7891476,0.46820274,1.6322337,1.203545,2.7109897,1.2446194,0.2719197,1.1597427,0.89472866,1.7470509,0.89178276,0.015435453,0.8968293,0.857682,0.91254294,0.11461601257324223,0.11120684407552078,8.624229689483988e-07,132900.0,63.42935929298402,68590,0
