window_len,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size,extra__forcast_time_steps
1,1.6541474,0.7065686,1.5983195,0.5894367,2.7578073,1.3042021,0.5533397,1.2427566,0.47238997,2.1826007,0.8492939,0.05960112,0.8674684,0.75336504,0.93044674,0.1679416894912719,0.1637903355189732,7.675579958467639e-05,2188.0,161.54979140417916,156143,0
3,1.5554745,0.6611275,1.4286356,0.56878304,2.6087985,1.2242595,0.5184812,1.0941752,0.45437598,2.0689511,0.86372226,0.0584493,0.87439024,0.75863194,0.94493794,0.1719552619116646,0.168178013392857,2.6316997537750943e-05,6534.0,161.54979140417916,156143,0
5,1.4909232,0.6238858,1.3330182,0.56152415,2.490505,1.1744951,0.4896988,1.025881,0.45010054,1.9790021,0.8731092,0.05565896,0.8784206,0.7616701,0.95280665,0.16074686391013,0.1567318115234375,1.482904648617436e-05,10840.0,161.54979140417916,156143,0
7,1.440647,0.5949979,1.2665414,0.5597904,2.399379,1.1353463,0.46759304,0.9776195,0.45082796,1.9098349,0.8802064,0.05371496,0.8832403,0.7630458,0.95783395,0.1797298533575875,0.1752640555245535,1.189791164819195e-05,15106.0,161.54979140417916,156143,0
15,1.311994,0.5177933,1.1194715,0.54981,2.14523,1.0312812,0.4051108,0.8656144,0.44462308,1.6968334,0.89728415,0.049235895,0.9058001,0.7672549,0.96738553,0.1712595905576434,0.1667423444475446,5.390607194134194e-06,31770.0,161.54979140417916,156143,0
30,1.1707479,0.42448202,1.0384746,0.5262749,1.845704,0.90993917,0.3223021,0.80429226,0.42510486,1.4282144,0.91425985,0.04516823,0.9237355,0.77235764,0.9728818,0.1785431589399066,0.1744195731026785,2.9130879252717653e-06,61290.0,161.54979140417916,156143,0
60,1.0158337,0.3207137,0.9664157,0.49319956,1.7090716,0.7774416,0.23493728,0.75120294,0.39489788,1.3311132,0.93015784,0.04368589,0.9446224,0.7843953,0.9798565,0.2048298375947135,0.1997598005022321,1.8033970557731424e-06,113580.0,161.54979140417916,156143,0
90,0.9422137141227722,0.2730621695518493,0.9335670471191406,0.4828751385211944,1.6478071212768557,0.720732569694519,0.2016279399394989,0.7165813446044922,0.385305255651474,1.290150761604309,0.9366945028305054,0.0447538532316684,0.9476587772369384,0.7882967591285706,0.9829939603805542,0.2280221496309552,0.2217077287946428,1.453573976100945e-06,156870.0,161.54979140417916,156143,0
120,0.9076799154281616,0.25204017758369446,0.9032395482063293,0.4767882227897644,1.6164228916168213,0.6938727498054504,0.18776057660579681,0.6929798126220703,0.37963899970054626,1.2680574655532837,0.9393320679664612,0.04630889371037483,0.950139045715332,0.7848501801490784,0.984035074710846,0.19822629860469276,0.19247244698660712,1.0369653620249673e-06,191160.0,161.54979140417916,156143,0
150,0.8891440033912659,0.2443682998418808,0.8773677349090576,0.4707210063934326,1.6050684452056885,0.6785455942153931,0.1825585663318634,0.6848160028457642,0.37408292293548584,1.2592183351516724,0.9415627121925354,0.045676469802856445,0.9511434435844421,0.7892920970916748,0.9847961664199829,0.20094529220036095,0.19596752929687503,9.119368831420965e-07,220350.0,161.54979140417916,156143,0
