window_len,RMSE_Mean,RMSE_Std,RMSE_Median,RMSE_Min,RMSE_Max,MAE_Mean,MAE_Std,MAE_Median,MAE_Min,MAE_Max,NSE_Mean,NSE_Std,NSE_Median,NSE_Min,NSE_Max,extra__infer_time_total_Mean,extra__infer_time_gpu_total_Mean,extra__infer_time_per_time_step_Mean,extra__n_total_time_steps_Mean,extra__train_time_total_best_Mean,extra__model_size,positional_encoding
1,2.0276029109954834,0.6443475484848022,1.6199995279312134,1.3703808784484863,3.096125364303589,1.5835732221603394,0.4862656593322754,1.2771846055984497,1.0953128337860107,2.3411216735839844,0.8628299236297607,0.0409987866878509,0.8825991153717041,0.7870996594429016,0.9152474403381348,0.212644879023234,0.2106272847493489,0.0002054539893944,1035.0,22.62041049003601,854232,learnable
1,2.021669149398804,0.626907467842102,1.6422245502471924,1.4038522243499756,3.0318751335144043,1.580216646194458,0.4686024487018585,1.3162484169006348,1.1012508869171145,2.3253934383392334,0.8634970784187317,0.0385738387703895,0.8800666332244873,0.7946114540100098,0.9170886874198914,0.2203121185302734,0.2176452138264974,0.0002128619502707,1035.0,21.750148725509643,743962,sinusoidal
1,2.0950191020965576,0.647483229637146,1.703826069831848,1.4496597051620483,3.1363682746887207,1.640945315361023,0.4860983788967132,1.3687163591384888,1.125285029411316,2.417468547821045,0.8531550168991089,0.0432690493762493,0.8661174178123474,0.7635408639907837,0.9079289436340332,0.2125348885854085,0.2098552673339843,0.00020534771844,1035.0,21.560781542460123,1980048,rope
3,1.6541897058486938,0.5810547471046448,1.298275113105774,1.050875902175903,2.6344757080078125,1.294167399406433,0.4324355721473694,1.041633367538452,0.8497039079666138,1.98865818977356,0.907791018486023,0.0352139770984649,0.9192155599594116,0.8445459604263306,0.9526627659797668,0.2053462505340576,0.203066807047526,6.626210084997018e-05,3099.0,22.62041049003601,854232,learnable
3,1.6478978395462036,0.5683260560035706,1.3073382377624512,1.0729018449783323,2.583238363265991,1.289573311805725,0.4212838113307953,1.051718831062317,0.8679237365722656,1.9873957633972168,0.9084343314170836,0.0340033210813999,0.919610559940338,0.8456836938858032,0.954797387123108,0.1890039126078287,0.1868196960449218,6.098867783408479e-05,3099.0,21.750148725509643,743962,sinusoidal
3,1.6924324035644531,0.588985800743103,1.3175275325775146,1.094369888305664,2.6418557167053223,1.321980118751526,0.443791776895523,1.0553102493286133,0.8853559494018555,2.0501506328582764,0.9031579494476318,0.0376703217625618,0.9123605489730836,0.83262038230896,0.9513788223266602,0.1973543008168538,0.1946324910481771,6.368322065726165e-05,3099.0,21.560781542460123,1980048,rope
5,1.4902175664901731,0.492484450340271,1.2315753698349,0.972892999649048,2.3091626167297363,1.1681464910507202,0.3664588928222656,0.9690952301025392,0.7848655581474304,1.7995188236236572,0.9245722889900208,0.0280737541615962,0.9316145181655884,0.871971607208252,0.9604076147079468,0.19371231396993,0.191480825805664,3.7577558481072745e-05,5155.0,22.62041049003601,854232,learnable
5,1.4873604774475098,0.4811086356639862,1.288777470588684,0.988447368144989,2.285521507263184,1.1625196933746338,0.3577307760715484,0.9772986769676208,0.8043182492256165,1.7885404825210571,0.9244652390480042,0.0286432933062315,0.9336935877799988,0.8726357221603394,0.9622894525527954,0.1839608669281006,0.1814764912923176,3.568591017033958e-05,5155.0,21.750148725509643,743962,sinusoidal
5,1.509850025177002,0.5104216933250427,1.239956617355347,0.9756210446357728,2.3766236305236816,1.183573842048645,0.3856805264949798,0.9654476046562196,0.7859928607940674,1.873934268951416,0.9222266674041748,0.0310191698372364,0.9282960891723632,0.8622797131538391,0.9617010354995728,0.1956950028737386,0.1930035461425781,3.796217320538092e-05,5155.0,21.560781542460123,1980048,rope
7,1.3724441528320312,0.4240170121192932,1.166622757911682,0.9173828959465028,2.099625825881958,1.073060393333435,0.313832938671112,0.9129610061645508,0.7332537770271301,1.6492201089859009,0.9356673955917358,0.0229865368455648,0.938807487487793,0.892511785030365,0.9652034640312196,0.1849979082743326,0.1828133931477864,2.5683452488453788e-05,7203.0,22.62041049003601,854232,learnable
7,1.3725460767745972,0.4214022755622864,1.2107062339782717,0.9387971758842468,2.1032657623291016,1.075209140777588,0.3121721148490906,0.9249793887138368,0.7544296383857727,1.6580890417099,0.9352251887321472,0.0245956983417272,0.9421499967575072,0.8875710964202881,0.9672736525535583,0.1993905544281005,0.1970662292480468,2.7681598560058385e-05,7203.0,21.750148725509643,743962,sinusoidal
7,1.3877804279327393,0.4525493681430816,1.1496212482452393,0.9077662825584412,2.196954727172852,1.087334394454956,0.3443073034286499,0.9086860418319702,0.728149950504303,1.7466046810150146,0.93395334482193,0.0262907482683658,0.9406105279922484,0.882315456867218,0.9668357968330384,0.2124229431152343,0.2097385243733724,2.9490898669336992e-05,7203.0,21.560781542460123,1980048,rope
